Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,03481.136640,C3,82,0.89848,8,10.25,11.37706
,,03488.382720,B5,107,0.67752,9,11.888889,13.320364
,,03505.398720,B5,74,0.60328,7,10.571429,13.361535
,,03523.234880,B5,72,0.5672,7,10.285714,12.406384
,,03547.074880,B1,494,0.29056,16,30.875,31.911743
,,03577.886240,A6,218,2.61128,6,36.333333,78.114586
,,03586.761520,A5,361,2.28288,16,22.5625,53.623653
,,03588.969520,D5,430,0.33272,16,26.875,8.615937
,,03589.046320,B5,491,0.39176,16,30.6875,14.140893
,,03589.046320,C5,428,0.40024,16,26.75,10.040543
,,03589.252000,A5,1284,2.56072,16,80.25,71.700333
,,03597.333520,C2,152,0.20448,11,13.818182,10.861259
,,03599.742160,A5,1453,0.86712,13,111.769231,45.409512
,,03596.149760,B5,1317,5.10848,14,94.071429,325.606567
,,03602.794480,C3,52,0.45592,8,6.5,5.09902

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42+dm,AB 42+dm,AB 42+dm,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
