Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
,,00016.951120,D2_23,0.038
,,00016.951520,D2_31,0.038
,,00016.951600,D2_34,0.067
,,00016.954320,D2_21,0.053
,,00016.956640,D2_21,0.038
,,00016.956720,D2_23,0.054
,,00016.962160,D2_23,0.051
,,00016.963280,D2_31,0.047
,,00016.967760,D2_21,0.069
,,00016.976240,A1_44,0.049
,,00016.976640,D2_34,0.076
,,00016.978720,D2_23,0.079
,,00016.978800,D2_31,0.059
,,00016.979200,A1_43,0.135
,,00016.983040,D2_21,0.055
,,00016.984000,D2_23,0.059
,,00016.987040,D2_34,0.065
,,00017.000640,D2_23,0.053
,,00017.002480,D2_21,0.055
,,00017.003920,D2_34,0.07
,,00017.005280,D2_23,0.038
,,00017.015280,D2_21,0.051
,,00017.019280,D2_23,0.045
,,00017.027440,D2_34,0.06
,,00017.030640,D2_21,0.047
,,00017.036080,B6_41,0.023
,,00017.037280,D2_31,0.054
,,00017.039280,D2_32,0.029
,,00017.041040,D2_21,0.054
