Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00006.991760,B2_31,0.037
,,00007.015680,A4_33,0.041
,,00007.037680,C1_22,0.089
,,00007.041360,B5_31,0.098
,,00007.043760,B5_31,0.016
,,00007.056080,A1_24,0.024
,,00007.085520,C1_31,0.033
,,00007.086080,A3_24,0.056
,,00007.108880,A1_24,0.028
,,00007.116240,C1_21,0.025
,,00007.133120,A3_41,0.021
,,00007.136560,A3_41,0.02
,,00007.139040,A3_31,0.029
,,00007.144880,A3_24,0.059
,,00007.157440,A3_24,0.043
,,00007.157520,A1_13,0.058
,,00007.164320,A2_32,0.024
,,00007.173520,B1_23,0.048
,,00007.184800,B5_24,0.066
,,00007.190160,A3_31,0.042
,,00007.196960,B2_21,0.037
,,00007.197200,A3_42,0.038
,,00007.197440,A3_41,0.023
,,00007.197920,B5_24,0.058
,,00007.200240,A3_24,0.069
,,00007.208000,B4_32,0.035
,,00007.209040,A3_31,0.067
,,00007.212240,A3_31,0.022
,,00007.217600,A3_42,0.029
,,00007.220160,A3_42,0.029
,,00007.228320,B5_22,0.048
,,00007.232240,B5_42,0.145
,,00007.234640,B5_42,0.017
,,00007.239360,B4_23,0.035
,,00007.245360,B5_42,0.031
,,00007.245840,B4_23,0.027
,,00007.248960,A3_24,0.058
,,00007.290320,C1_31,0.031
,,00007.312800,B5_42,0.062
,,00007.326240,B5_31,0.099
,,00007.353120,A1_23,0.083
,,00007.388160,C1_11,0.019
,,00007.394080,C1_31,0.026
,,00007.410000,B5_24,0.069
,,00007.413120,B5_24,0.019
,,00007.422480,B5_24,0.055
,,00007.431600,B5_42,0.035
,,00007.433840,B5_24,0.045
,,00007.460160,B5_21,0.042
,,00007.469040,B5_42,0.074
,,00007.479680,B5_32,0.145
,,00007.480080,B5_42,0.037
,,00007.482080,B5_24,0.032
,,00007.484800,B5_31,0.033
,,00007.485280,C2_32,0.032
,,00007.491680,B5_31,0.049
,,00007.492560,B5_42,0.025
,,00007.498800,B2_12,0.24
,,00007.501040,B2_12,0.021
,,00007.501120,B5_42,0.062
,,00007.504800,B5_42,0.04
,,00007.520880,B2_24,0.08
,,00007.533600,B5_42,0.062
,,00007.536880,B1_23,0.107
,,00007.539600,B1_23,0.016
,,00007.541520,B1_13,0.033
,,00007.542560,C1_31,0.026
,,00007.542720,B1_23,0.02
,,00007.553280,B5_31,0.094
,,00007.555920,B5_31,0.017
,,00007.583760,A1_24,0.027
,,00007.615680,A1_24,0.028
,,00007.625200,C1_22,0.094
,,00007.640000,B4_23,0.025
,,00007.661680,B2_31,0.054
,,00007.664800,B2_21,0.03
,,00007.669760,B2_31,0.042
,,00007.687200,A1_13,0.059
,,00007.688960,A3_31,0.052
,,00007.695760,B1_13,0.035
,,00007.700400,A1_13,0.025
,,00007.709520,B5_32,0.045
,,00007.713040,C1_21,0.026
,,00007.729760,C1_31,0.03
,,00007.775840,A3_24,0.07
,,00007.793280,B1_23,0.066
,,00007.812320,B1_23,0.096
,,00007.838720,A1_24,0.03
,,00007.844400,A1_24,0.022
,,00007.889920,B4_23,0.027
,,00007.894560,B4_23,0.028
,,00007.905120,B5_24,0.071
,,00007.912960,B2_21,0.041
,,00007.918800,B5_24,0.059
,,00007.924000,C1_31,0.032
,,00007.930880,B5_24,0.036
,,00007.939920,C1_22,0.091
,,00007.974480,B5_42,0.179
,,00007.977840,B5_42,0.018
,,00007.995360,A3_24,0.071
,,00007.995840,C1_31,0.031
,,00007.999360,A3_24,0.037
,,00008.010000,A1_12,0.031
,,00008.018720,A3_24,0.043
,,00008.021280,A3_24,0.037
,,00008.043360,C1_22,0.087
,,00008.046160,A3_24,0.042
,,00008.049360,C1_11,0.02
,,00008.057360,B2_21,0.049
,,00008.083200,B5_31,0.104
,,00008.088720,B4_23,0.046
,,00008.091040,B1_23,0.021
,,00008.140800,C1_31,0.028
,,00008.155840,B1_23,0.055
,,00008.183760,B5_24,0.069
,,00008.185200,B5_31,0.052
,,00008.188400,B5_42,0.032
,,00008.193200,B5_24,0.053
,,00008.218160,A1_24,0.03
,,00008.222320,A1_24,0.168
,,00008.222560,A3_24,0.057
,,00008.224720,A1_24,0.011
,,00008.228800,A1_14,0.037
,,00008.235040,A3_31,0.052
,,00008.238800,B1_13,0.036
,,00008.243200,A1_23,0.066
,,00008.256960,B2_21,0.05
,,00008.259680,A3_42,0.033
,,00008.260880,A3_31,0.056
,,00008.265600,A3_42,0.026
,,00008.268960,B2_21,0.028
,,00008.271360,A3_42,0.036
,,00008.275440,A3_24,0.03
,,00008.276480,A3_41,0.034
,,00008.278800,A3_42,0.023
,,00008.281680,A3_33,0.025
,,00008.282560,A3_41,0.02
,,00008.283120,A3_31,0.036
,,00008.286400,A3_24,0.063
,,00008.288880,A3_42,0.028
,,00008.322800,C1_31,0.027
,,00008.388080,B5_24,0.03
,,00008.391520,B5_42,0.188
,,00008.400480,A1_12,0.026
,,00008.421680,A3_24,0.059
,,00008.427520,B5_31,0.099
,,00008.436400,C1_31,0.028
,,00008.443120,B4_23,0.03
,,00008.493920,B5_24,0.069
,,00008.507200,B5_24,0.056
,,00008.536400,A1_23,0.023
,,00008.544240,C1_31,0.029
,,00008.560080,B2_31,0.051
,,00008.562960,B4_24,0.05
,,00008.568960,C1_22,0.089
,,00008.569520,B2_31,0.045
,,00008.572240,A1_12,0.029
,,00008.580640,B2_21,0.036
,,00008.584480,B2_21,0.019
,,00008.592480,A1_24,0.034
,,00008.598960,B2_31,0.045
,,00008.634800,B2_21,0.035
,,00008.645760,A3_24,0.06
,,00008.647360,A3_42,0.023
,,00008.694240,C1_31,0.027
,,00008.729680,B5_42,0.064
,,00008.733600,B2_21,0.052
,,00008.736320,B2_12,0.23
,,00008.738880,B2_12,0.022
,,00008.738960,B5_42,0.179
,,00008.740480,B1_23,0.022
,,00008.742400,B5_42,0.021
,,00008.749920,B2_12,0.15
,,00008.753040,B2_12,0.022
,,00008.756240,B2_12,0.029
,,00008.757120,B2_24,0.081
,,00008.760640,B5_24,0.063
,,00008.776720,A3_31,0.054
,,00008.803440,A3_24,0.028
,,00008.808080,B5_31,0.093
,,00008.811840,C1_31,0.031
,,00008.826480,A3_24,0.057
,,00008.870240,C1_21,0.028
,,00008.870400,A3_24,0.047
,,00008.886800,A3_24,0.08
,,00008.889360,C1_31,0.022
,,00008.890560,A3_24,0.039
,,00008.892080,B2_41,0.026
,,00008.893680,A3_24,0.031
,,00008.912720,A3_24,0.026
,,00008.913440,B5_31,0.048
,,00008.918400,A1_24,0.029
,,00008.920800,A1_24,0.028
,,00008.924080,A1_24,0.019
,,00008.950640,B4_24,0.044
,,00008.953520,B2_21,0.037
,,00008.959600,B5_31,0.038
,,00008.987600,A3_24,0.023
,,00008.993120,B5_24,0.069
,,00009.002640,B5_24,0.06
,,00009.013200,B5_42,0.032
,,00009.019280,B2_21,0.047
,,00009.023520,A3_24,0.043
,,00009.028000,A1_23,0.067
,,00009.049600,B5_42,0.067
,,00009.056160,B2_24,0.032
,,00009.062000,C1_31,0.031
,,00009.063920,A3_31,0.055
,,00009.069200,B5_31,0.101
,,00009.099200,B5_42,0.039
,,00009.143360,B4_24,0.051
,,00009.154400,B4_23,0.082
,,00009.182240,B3_22,0.092
,,00009.193360,B3_22,0.061
,,00009.201840,B2_21,0.023
,,00009.215680,C1_31,0.025
,,00009.226080,B5_42,0.18
,,00009.229920,B5_42,0.02
,,00009.233760,C1_22,0.094
,,00009.291040,C1_22,0.079
,,00009.291600,B5_31,0.096
,,00009.292560,B1_23,0.029
,,00009.319200,A1_24,0.024
,,00009.329200,B5_24,0.073
,,00009.341360,B5_24,0.054
,,00009.350400,C1_31,0.03
,,00009.358000,A2_32,0.019
,,00009.370080,A2_24,0.023
,,00009.391680,B5_42,0.033
,,00009.401520,A1_24,0.027
,,00009.403040,C1_11,0.023
,,00009.406960,B2_12,0.043
,,00009.410800,B2_21,0.054
,,00009.419360,B2_31,0.11
,,00009.420320,B2_21,0.019
,,00009.422320,B2_31,0.042
,,00009.425120,B2_31,0.045
,,00009.427120,B2_24,0.047
,,00009.430720,B2_24,0.04
,,00009.431440,C1_21,0.027
,,00009.434880,B2_24,0.089
,,00009.435040,B2_21,0.037
,,00009.438480,B2_24,0.025
,,00009.440880,B2_24,0.044
,,00009.443680,B2_24,0.029
,,00009.445200,A2_14,0.023
,,00009.445760,B2_31,0.104
,,00009.452160,B2_31,0.09
,,00009.453120,B2_21,0.042
,,00009.455520,B2_31,0.045
,,00009.457520,A3_31,0.071
,,00009.458720,B2_31,0.033
,,00009.466240,B2_31,0.047
,,00009.472880,B2_31,0.047
,,00009.476960,B2_21,0.04
,,00009.482080,A2_32,0.018
,,00009.484960,B5_31,0.098
,,00009.490400,A3_24,0.078
,,00009.504320,C1_31,0.028
,,00009.505680,A3_31,0.058
,,00009.540560,A3_24,0.051
,,00009.574400,A3_24,0.049
,,00009.581360,A3_31,0.105
,,00009.582560,A3_42,0.042
,,00009.584080,A3_31,0.022
,,00009.584400,A1_24,0.031
,,00009.584400,B5_42,0.137
,,00009.584480,B1_13,0.039
,,00009.585360,A3_42,0.037
,,00009.586240,A3_24,0.029
,,00009.586800,A3_31,0.063
,,00009.587920,A3_42,0.061
,,00009.588160,B5_42,0.019
,,00009.589840,A3_24,0.059
,,00009.589840,A3_31,0.064
,,00009.590160,A3_42,0.014
,,00009.592480,A3_41,0.025
,,00009.592560,A3_42,0.035
,,00009.595040,B2_21,0.04
,,00009.595040,B5_31,0.052
,,00009.595920,A3_24,0.076
,,00009.596400,A3_42,0.031
,,00009.597760,A3_41,0.026
,,00009.598800,A3_24,0.069
,,00009.599040,A3_42,0.039
,,00009.600880,A3_41,0.024
,,00009.602080,A3_31,0.094
,,00009.603440,A3_41,0.043
,,00009.603440,A3_42,0.04
,,00009.604880,A3_31,0.038
,,00009.606400,A3_42,0.053
,,00009.607440,A3_31,0.051
,,00009.608480,A3_24,0.057
,,00009.608720,A3_42,0.044
,,00009.609120,A3_41,0.028
,,00009.610320,A3_31,0.039
,,00009.611440,A3_24,0.115
,,00009.611680,A3_33,0.02
,,00009.612640,A3_41,0.022
,,00009.612640,A3_42,0.019
,,00009.613120,A3_21,0.041
,,00009.614240,A3_31,0.076
,,00009.614720,A3_24,0.025
,,00009.615360,A3_42,0.094
,,00009.615920,A3_41,0.05
,,00009.617120,A3_31,0.03
,,00009.618160,A3_42,0.042
,,00009.618240,A3_24,0.03
,,00009.620560,A3_42,0.114
,,00009.620800,A3_31,0.048
,,00009.621040,A3_41,0.027
,,00009.621920,A3_33,0.031
,,00009.622080,A3_24,0.055
,,00009.623360,A3_31,0.07
,,00009.624480,A3_41,0.038
,,00009.624640,A3_24,0.097
,,00009.624720,A3_21,0.034
,,00009.624960,A3_42,0.055
,,00009.625920,A3_31,0.104
,,00009.627120,A3_24,0.055
,,00009.627760,A3_41,0.013
,,00009.627760,A3_42,0.059
,,00009.628240,A3_31,0.038
,,00009.630320,A3_24,0.03
,,00009.630960,A3_42,0.046
,,00009.631520,A3_41,0.042
,,00009.631680,A3_31,0.083
,,00009.633120,A3_24,0.08
,,00009.634000,A3_21,0.031
,,00009.634160,A3_41,0.029
,,00009.634160,A3_42,0.088
,,00009.634640,A3_33,0.024
,,00009.634800,A3_31,0.081
,,00009.635920,A3_24,0.048
,,00009.636560,A3_41,0.041
,,00009.636800,A3_13,0.038
,,00009.637280,A3_42,0.031
,,00009.637520,A3_31,0.06
,,00009.638320,A3_24,0.102
,,00009.639520,A3_41,0.038
,,00009.639760,A3_42,0.043
,,00009.640240,A3_31,0.034
,,00009.640640,A3_24,0.043
,,00009.642080,C1_31,0.031
,,00009.642800,A3_31,0.072
,,00009.642880,A3_41,0.024
,,00009.642880,A3_42,0.085
,,00009.642960,A3_24,0.016
,,00009.644560,A3_33,0.026
,,00009.645280,A3_31,0.07
,,00009.645440,A3_13,0.031
,,00009.645440,A3_41,0.029
,,00009.645840,A3_24,0.045
,,00009.646160,A3_42,0.067
,,00009.647760,A3_41,0.033
,,00009.648000,A3_31,0.046
,,00009.648240,A3_24,0.042
,,00009.648720,A3_42,0.023
,,00009.649440,A3_13,0.042
,,00009.649440,A3_21,0.024
,,00009.649520,B5_42,0.076
,,00009.650400,A3_41,0.02
,,00009.650800,A3_24,0.031
,,00009.651120,A3_42,0.07
,,00009.651200,A3_31,0.063
,,00009.653520,A3_41,0.049
,,00009.653920,B1_13,0.034
,,00009.654000,A3_24,0.028
,,00009.654160,A3_31,0.047
,,00009.654560,A3_42,0.07
,,00009.656560,A3_24,0.114
,,00009.656720,A3_31,0.039
,,00009.656960,A3_42,0.069
,,00009.657120,A3_41,0.033
,,00009.658960,A3_31,0.047
,,00009.659440,A3_24,0.076
,,00009.660800,A3_42,0.034
,,00009.660880,A3_33,0.025
,,00009.660880,A3_41,0.023
,,00009.661520,A3_31,0.047
,,00009.663280,A3_24,0.053
,,00009.663280,A3_42,0.044
,,00009.663440,A3_13,0.045
,,00009.663840,A3_41,0.063
,,00009.664240,A3_31,0.048
,,00009.665840,A3_42,0.04
,,00009.666800,A3_41,0.025
,,00009.666960,A3_24,0.046
,,00009.667440,A3_33,0.029
,,00009.667760,A3_31,0.039
,,00009.668480,A3_42,0.045
,,00009.669440,A3_24,0.07
,,00009.669920,A3_41,0.019
,,00009.671200,A3_42,0.03
,,00009.671360,A3_31,0.027
,,00009.671920,A3_24,0.076
,,00009.674000,A3_41,0.028
,,00009.674160,A3_42,0.034
,,00009.674640,A3_24,0.06
,,00009.676640,A3_31,0.074
,,00009.678240,A3_41,0.014
,,00009.679440,A3_31,0.023
,,00009.679600,A3_42,0.031
,,00009.683120,A3_42,0.031
,,00009.683520,A3_31,0.043
,,00009.685280,A3_13,0.044
,,00009.685280,A3_24,0.057
,,00009.685520,A3_42,0.053
,,00009.686000,A3_41,0.023
,,00009.686400,A3_31,0.037
,,00009.687600,A3_24,0.076
,,00009.688240,A3_42,0.021
,,00009.689600,A3_31,0.037
,,00009.689600,A3_41,0.023
,,00009.690720,A3_42,0.045
,,00009.692320,A3_31,0.031
,,00009.693920,A3_42,0.033
,,00009.695440,A3_24,0.048
,,00009.695760,A3_31,0.044
,,00009.697920,B5_42,0.043
,,00009.698960,A3_24,0.039
,,00009.699840,A3_31,0.037
,,00009.700400,A3_41,0.049
,,00009.700640,A3_42,0.077
,,00009.702000,A3_24,0.061
,,00009.702560,A3_31,0.069
,,00009.702800,B1_13,0.034
,,00009.703040,A3_42,0.026
,,00009.706080,A3_24,0.092
,,00009.708080,A3_31,0.031
,,00009.708640,A3_13,0.054
,,00009.709280,A3_24,0.024
,,00009.710560,A3_42,0.023
,,00009.711760,A3_24,0.048
,,00009.711920,A3_41,0.035
,,00009.713200,A3_31,0.044
,,00009.713520,A3_42,0.022
,,00009.714160,A3_41,0.014
,,00009.714400,A1_23,0.057
,,00009.715680,A3_31,0.036
,,00009.715760,A3_42,0.041
,,00009.718000,A3_31,0.027
,,00009.721680,A3_24,0.027
,,00009.721680,A3_42,0.018
,,00009.724400,A3_31,0.037
,,00009.724560,B5_24,0.072
,,00009.724720,A3_41,0.021
,,00009.724880,A3_42,0.047
,,00009.727120,A3_31,0.027
,,00009.729440,A3_31,0.049
,,00009.730960,A3_41,0.033
,,00009.731120,A3_42,0.025
,,00009.732160,A3_24,0.079
,,00009.732800,A3_14,0.022
,,00009.733760,A3_31,0.02
,,00009.738240,A3_31,0.049
,,00009.739280,A3_24,0.035
,,00009.742080,A3_31,0.033
,,00009.743040,A3_21,0.028
,,00009.743920,A3_42,0.05
,,00009.744880,B5_24,0.062
,,00009.746960,A3_31,0.026
,,00009.751200,B5_32,0.147
,,00009.763840,A3_42,0.029
,,00009.765040,A3_21,0.029
,,00009.766000,B5_42,0.205
,,00009.768240,B5_42,0.016
,,00009.771840,B4_23,0.031
,,00009.782240,C1_31,0.03
,,00009.800480,A1_23,0.029
,,00009.857120,B2_21,0.037
,,00009.897840,A3_24,0.045
,,00009.923520,A3_24,0.043
,,00009.944880,B5_24,0.068
,,00009.950240,C1_31,0.032
,,00009.956000,A3_24,0.046
,,00009.960480,B2_31,0.059
,,00009.966160,B5_24,0.053
,,00009.968320,B2_31,0.035
,,00009.979680,A1_23,0.028
,,00009.981760,A3_24,0.041
,,00009.989760,B5_42,0.067
,,00009.995120,B2_31,0.041
,,00010.001360,B4_23,0.049
,,00010.006400,A3_24,0.038
,,00010.013200,B4_23,0.034
,,00010.013600,C2_13,0.026
,,00010.014640,B2_21,0.044
,,00010.014640,C2_32,0.017
,,00010.036080,B5_42,0.061
,,00010.048160,A1_12,0.028
,,00010.054960,B1_23,0.099
,,00010.066080,C1_21,0.027
,,00010.069360,B1_13,0.039
,,00010.088240,A1_13,0.061
,,00010.097840,B2_21,0.031
,,00010.101280,B1_23,0.068
,,00010.109280,C1_31,0.029
,,00010.110880,A1_24,0.031
,,00010.111920,A3_24,0.042
,,00010.121920,C1_22,0.095
,,00010.134160,B2_12,0.254
,,00010.136960,B2_12,0.022
,,00010.143600,B4_24,0.049
,,00010.148800,A1_23,0.03
,,00010.151360,B2_24,0.09
,,00010.151520,B5_42,0.07
,,00010.153760,A1_23,0.075
,,00010.160880,B5_42,0.157
,,00010.164080,B5_42,0.016
,,00010.233600,A1_12,0.027
,,00010.235840,B5_31,0.098
,,00010.235840,C1_31,0.03
,,00010.237680,A3_24,0.059
,,00010.238880,B5_31,0.022
,,00010.261280,C1_31,0.029
,,00010.284160,A3_42,0.034
,,00010.286240,A3_24,0.029
,,00010.297760,B5_24,0.067
,,00010.307840,A3_42,0.025
,,00010.308000,A3_24,0.038
,,00010.308080,B2_21,0.05
,,00010.308240,B5_24,0.052
,,00010.311360,B5_42,0.034
,,00010.335360,A3_24,0.056
,,00010.338800,A3_24,0.057
,,00010.340800,B1_13,0.034
,,00010.352160,B4_23,0.028
,,00010.357200,A3_24,0.049
,,00010.366080,A3_24,0.053
,,00010.383600,A3_24,0.04
,,00010.395280,B5_42,0.024
,,00010.414960,C1_22,0.092
,,00010.442880,A3_24,0.039
,,00010.446240,C1_31,0.03
,,00010.469280,B5_42,0.041
,,00010.508640,A1_14,0.036
,,00010.509600,B5_42,0.063
,,00010.526400,A3_24,0.032
,,00010.536320,B5_31,0.032
,,00010.544960,C1_11,0.022
,,00010.545120,A2_14,0.024
,,00010.546400,B5_24,0.064
,,00010.547760,A2_32,0.027
,,00010.567760,A1_23,0.084
,,00010.570800,A1_23,0.017
,,00010.576320,B5_42,0.226
,,00010.579280,B5_42,0.017
,,00010.581760,C1_31,0.029
,,00010.603840,B5_33,0.026
,,00010.611520,A3_24,0.057
,,00010.616400,B4_11,0.028
,,00010.624160,B2_12,0.246
,,00010.626640,B2_12,0.023
,,00010.637760,A1_12,0.027
,,00010.639840,B2_12,0.182
,,00010.642240,B2_12,0.01
,,00010.650320,A3_24,0.047
,,00010.654640,B2_24,0.087
,,00010.658640,B4_23,0.023
,,00010.661600,B2_12,0.041
,,00010.662560,A3_31,0.026
,,00010.688000,A3_24,0.045
,,00010.695520,B2_21,0.036
,,00010.697920,B2_21,0.049
,,00010.701840,B1_23,0.048
,,00010.718960,A3_31,0.035
,,00010.736480,C1_31,0.028
,,00010.741200,A3_42,0.02
,,00010.804000,A3_24,0.045
,,00010.823440,B5_24,0.066
,,00010.828720,B1_23,0.103
,,00010.832160,B1_23,0.018
,,00010.835120,B5_24,0.052
,,00010.837040,A1_13,0.056
,,00010.848480,B5_42,0.029
,,00010.854880,B5_24,0.047
,,00010.870160,C1_31,0.031
,,00010.895120,B5_32,0.138
,,00010.920800,B2_21,0.021
,,00010.934640,A3_31,0.06
,,00010.939280,A3_31,0.021
,,00010.960960,B1_13,0.038
,,00010.965280,B4_23,0.038
,,00010.981200,A3_42,0.029
,,00010.984720,B2_31,0.05
,,00010.989760,B5_42,0.143
,,00010.992000,B5_42,0.016
,,00010.993040,B2_31,0.038
,,00011.013200,C1_31,0.03
,,00011.025120,B2_31,0.042
,,00011.054880,B5_31,0.105
,,00011.057520,B5_31,0.022
,,00011.067840,C1_21,0.031
,,00011.093440,A3_24,0.06
,,00011.106000,B2_12,0.035
,,00011.107600,B2_31,0.12
,,00011.110960,B2_31,0.033
,,00011.111040,B2_21,0.073
,,00011.111600,B1_23,0.03
,,00011.112720,B2_12,0.095
,,00011.114400,B2_21,0.069
,,00011.114800,A3_24,0.046
,,00011.117040,B2_31,0.057
,,00011.117520,B2_33,0.04
,,00011.117760,B2_24,0.059
,,00011.119360,B2_31,0.111
,,00011.121120,B2_24,0.026
,,00011.121760,B2_31,0.079
,,00011.122160,B2_41,0.019
,,00011.122880,B5_24,0.069
,,00011.123040,B2_12,0.103
,,00011.123680,B2_21,0.027
,,00011.125120,B2_31,0.051
,,00011.125360,B2_24,0.071
,,00011.127120,B2_21,0.053
,,00011.127760,B2_31,0.055
,,00011.128160,A1_24,0.057
,,00011.130080,B2_24,0.086
,,00011.130080,B2_31,0.063
,,00011.133040,B2_12,0.047
,,00011.134240,B2_24,0.137
,,00011.136800,B2_24,0.118
,,00011.139120,B2_24,0.045
,,00011.139920,B2_31,0.03
,,00011.142320,B2_24,0.063
,,00011.142720,B5_42,0.064
,,00011.144720,B2_24,0.041
,,00011.146960,B2_24,0.038
,,00011.154400,B2_31,0.027
,,00011.156640,B2_31,0.048
,,00011.174880,C1_31,0.033
,,00011.188000,A1_24,0.032
,,00011.210400,A3_42,0.032
,,00011.221200,C1_22,0.095
,,00011.228160,A3_24,0.051
,,00011.230800,A3_24,0.025
,,00011.230880,B5_42,0.143
,,00011.234160,B5_42,0.019
,,00011.241840,B5_31,0.069
,,00011.258880,B5_31,0.103
,,00011.277200,B1_13,0.03
,,00011.310720,B5_24,0.07
,,00011.319680,B5_42,0.064
,,00011.329840,B5_22,0.052
,,00011.335920,C1_31,0.027
,,00011.344240,C1_21,0.029
,,00011.393920,A3_24,0.064
,,00011.404800,A1_12,0.022
,,00011.446000,B5_42,0.069
,,00011.446160,C1_22,0.087
,,00011.447440,A4_32,0.041
,,00011.452800,A1_23,0.025
,,00011.469360,B5_31,0.096
,,00011.470160,A3_31,0.023
,,00011.473440,A1_24,0.038
,,00011.477040,C1_31,0.026
,,00011.477440,A1_24,0.02
,,00011.486400,A1_24,0.034
,,00011.489200,B2_21,0.027
,,00011.493200,A1_14,0.045
,,00011.495120,A1_24,0.027
,,00011.515120,A1_24,0.037
,,00011.518320,B5_33,0.03
,,00011.523840,B5_31,0.037
,,00011.523920,A1_23,0.025
,,00011.527280,B1_23,0.03
,,00011.528560,B5_42,0.027
,,00011.537760,A1_24,0.03
,,00011.538960,A1_14,0.039
,,00011.539120,B5_24,0.067
,,00011.540080,A1_24,0.019
,,00011.550480,C2_22,0.031
,,00011.552880,B5_42,0.062
,,00011.582160,C1_31,0.03
,,00011.591200,C1_22,0.085
,,00011.620240,C1_31,0.031
,,00011.627120,C1_22,0.054
,,00011.649680,B5_42,0.152
,,00011.649920,C1_22,0.051
,,00011.665760,C1_22,0.036
,,00011.669840,B5_24,0.034
,,00011.671280,C1_31,0.03
,,00011.702320,C1_22,0.022
,,00011.712960,C1_21,0.031
,,00011.732560,B5_31,0.095
,,00011.734880,B5_31,0.013
,,00011.743280,B5_42,0.061
,,00011.753280,C1_22,0.019
,,00011.767440,A3_31,0.055
,,00011.795120,B5_32,0.024
,,00011.795440,A1_12,0.025
,,00011.801120,B5_24,0.073
,,00011.809360,B2_21,0.045
,,00011.810480,B5_24,0.053
,,00011.827440,B5_42,0.068
,,00011.837040,B2_21,0.039
,,00011.839840,B2_21,0.016
,,00011.848640,B1_23,0.089
,,00011.866800,C1_31,0.027
,,00011.922560,B5_42,0.179
,,00011.925760,B5_42,0.019
,,00011.942720,B2_12,0.241
,,00011.945120,B2_12,0.017
,,00011.958240,B2_24,0.081
,,00011.974160,B4_23,0.033
,,00011.980960,B5_24,0.033
,,00011.989840,A3_41,0.032
,,00011.991200,B1_13,0.028
,,00011.992080,A3_42,0.022
,,00011.994640,A3_42,0.039
,,00011.995680,A3_31,0.055
,,00011.996080,A3_41,0.023
,,00011.997600,A3_24,0.097
,,00011.998400,A3_41,0.022
,,00012.000000,A3_24,0.042
,,00012.002160,A3_31,0.03
,,00012.005600,A3_41,0.028
,,00012.005840,B2_31,0.056
,,00012.005920,A3_31,0.029
,,00012.007440,A3_42,0.033
,,00012.008160,A3_41,0.022
,,00012.010640,A3_24,0.073
,,00012.013280,A3_24,0.028
,,00012.017920,A3_31,0.037
,,00012.020240,A3_31,0.027
,,00012.024400,B2_31,0.024
,,00012.025680,A3_24,0.046
,,00012.028080,A3_24,0.031
,,00012.028240,C1_31,0.031
,,00012.029760,B3_44,0.034
,,00012.038720,B5_42,0.067
,,00012.047200,B2_31,0.047
,,00012.056320,A3_24,0.047
,,00012.059040,B2_24,0.036
,,00012.068880,B5_22,0.051
,,00012.075360,B5_22,0.047
,,00012.081040,B5_42,0.054
,,00012.081840,B5_33,0.044
,,00012.082720,B5_22,0.042
,,00012.084160,B5_33,0.048
,,00012.084800,B5_42,0.035
,,00012.085040,B5_24,0.031
,,00012.086480,B2_21,0.04
,,00012.090240,B5_31,0.038
,,00012.091360,B5_32,0.148
,,00012.094000,B5_32,0.015
,,00012.107520,B4_23,0.024
,,00012.116240,B5_31,0.097
,,00012.118800,B5_31,0.016
,,00012.130320,B5_42,0.061
,,00012.201200,C1_31,0.03
,,00012.220160,B5_24,0.074
,,00012.268240,B1_23,0.031
,,00012.322960,B2_21,0.034
,,00012.329680,A3_31,0.051
,,00012.361040,C1_31,0.034
,,00012.383760,A4_33,0.019
,,00012.390960,A3_24,0.08
,,00012.410800,B4_23,0.022
,,00012.410960,A1_24,0.027
,,00012.423120,B4_23,0.024
,,00012.424320,B5_42,0.066
,,00012.446880,B2_12,0.032
,,00012.453280,B5_24,0.066
,,00012.454000,B5_42,0.03
,,00012.455760,A4_33,0.037
,,00012.463840,C1_31,0.026
,,00012.467680,B5_24,0.054
,,00012.481520,B5_24,0.044
,,00012.482800,A3_31,0.049
,,00012.542000,B2_21,0.044
,,00012.546480,B1_23,0.031
,,00012.552240,A3_24,0.032
,,00012.562960,A3_24,0.057
,,00012.579280,C1_21,0.027
,,00012.592320,A3_24,0.046
,,00012.597360,B2_31,0.041
,,00012.603600,B5_42,0.19
,,00012.603760,B2_31,0.032
,,00012.606800,B5_42,0.015
,,00012.609600,B2_31,0.033
,,00012.611440,C1_31,0.029
,,00012.634480,B2_31,0.027
,,00012.664320,B5_31,0.096
,,00012.667360,B5_31,0.02
,,00012.709360,B2_31,0.054
,,00012.714640,A1_12,0.033
,,00012.717920,B2_31,0.038
,,00012.719040,B2_21,0.04
,,00012.722000,A3_24,0.085
,,00012.726080,A3_24,0.037
,,00012.727840,B2_31,0.032
,,00012.750400,B2_21,0.032
,,00012.758400,B2_31,0.065
,,00012.762560,A3_24,0.051
,,00012.767840,B2_31,0.037
,,00012.770080,B2_31,0.032
,,00012.771440,A3_31,0.05
,,00012.780080,B1_23,0.054
,,00012.783840,B5_24,0.072
,,00012.792880,C1_31,0.029
,,00012.794640,B5_24,0.048
,,00012.838800,C1_11,0.015
,,00012.877280,A3_31,0.027
,,00012.883680,B2_21,0.031
,,00012.886560,B2_21,0.104
,,00012.890080,B2_21,0.133
,,00012.892320,B2_21,0.066
,,00012.895040,B2_31,0.055
,,00012.897600,B2_21,0.05
,,00012.900320,B2_21,0.022
,,00012.901360,B2_31,0.059
,,00012.904880,B2_31,0.058
,,00012.907440,A1_12,0.028
,,00012.908800,B2_31,0.058
,,00012.913040,B2_31,0.043
,,00012.915840,B2_21,0.049
,,00012.918560,B2_31,0.034
,,00012.919280,A3_24,0.046
,,00012.920000,B2_21,0.064
