Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00006.517920,B5_42,0.032
,,00006.560240,B2_21,0.036
,,00006.573040,B5_42,0.158
,,00006.585840,B5_33,0.033
,,00006.589120,B5_33,0.051
,,00006.609920,B5_32,0.132
,,00006.612160,B5_32,0.024
,,00006.619360,C1_21,0.027
,,00006.622240,B4_23,0.033
,,00006.633200,B1_13,0.037
,,00006.639520,B5_31,0.103
,,00006.643920,C1_31,0.034
,,00006.648320,A1_23,0.065
,,00006.663600,B5_42,0.065
,,00006.691840,B5_24,0.073
,,00006.691920,A3_24,0.08
,,00006.693840,B2_21,0.048
,,00006.707200,A3_31,0.027
,,00006.744000,A3_31,0.048
,,00006.772800,B1_13,0.034
,,00006.773520,A3_24,0.031
,,00006.777120,C1_11,0.023
,,00006.794240,C1_31,0.027
,,00006.794640,A4_32,0.037
,,00006.813680,B4_23,0.042
,,00006.823920,B5_24,0.068
,,00006.838160,B5_42,0.071
,,00006.854320,B2_24,0.053
,,00006.859120,B2_24,0.062
,,00006.861440,B2_24,0.053
,,00006.864720,B2_24,0.031
,,00006.876880,B2_31,0.107
,,00006.881360,B2_21,0.039
,,00006.894880,B2_21,0.08
,,00006.897600,B2_21,0.028
,,00006.898240,C1_22,0.093
,,00006.902080,A1_23,0.096
,,00006.913440,B2_21,0.07
,,00006.920080,B5_42,0.062
,,00006.925680,B2_21,0.083
,,00006.928000,B2_21,0.039
,,00006.929120,B2_31,0.109
,,00006.931120,B2_21,0.052
,,00006.932080,B2_31,0.015
,,00006.934320,B2_21,0.025
,,00006.934800,B2_31,0.061
,,00006.936240,B2_12,0.052
,,00006.938240,B2_31,0.032
,,00006.938400,B2_21,0.049
,,00006.938720,B2_12,0.061
,,00006.939840,C1_31,0.03
,,00006.942800,B2_21,0.017
,,00006.943920,B2_24,0.057
,,00006.944880,B2_12,0.06
,,00006.945680,B2_31,0.094
,,00006.947040,B2_24,0.03
,,00006.947920,B2_21,0.038
,,00006.948000,B2_31,0.068
,,00006.949440,B2_24,0.052
,,00006.952640,B2_31,0.062
,,00006.954240,B2_12,0.06
,,00006.954480,B2_24,0.054
,,00006.968640,A3_31,0.05
,,00006.970160,A3_24,0.028
,,00006.978000,B5_42,0.182
,,00006.981120,B5_42,0.016
,,00006.982640,B2_31,0.054
,,00006.982800,B5_24,0.032
