Investigator,,Time (s),Electrode,Amplitude (mV)
,,00010.533360,A1_83,0.038
,,00010.533440,A1_16,0.035
,,00010.533440,A1_18,0.044
,,00010.533440,A1_66,0.117
,,00010.533520,A1_56,0.032
,,00010.533600,A1_17,0.043
,,00010.533680,A1_22,0.037
,,00010.533760,A1_15,0.049
,,00010.533760,A1_63,0.042
,,00010.533760,A1_64,0.045
,,00010.534000,A1_54,0.067
,,00010.534000,A1_55,0.076
,,00010.534080,A1_13,0.057
,,00010.534160,A1_28,0.035
,,00010.534160,A1_67,0.024
,,00010.534160,A1_84,0.031
,,00010.534400,A1_52,0.067
,,00010.534480,A1_34,0.103
,,00010.534640,A1_75,0.09
,,00010.534720,A1_26,0.048
,,00010.534720,A1_31,0.033
,,00010.534800,A1_35,0.058
,,00010.534800,A1_68,0.059
,,00010.534800,A1_72,0.086
,,00010.534880,A1_24,0.075
,,00010.534880,A1_76,0.05
,,00010.534960,A1_12,0.029
,,00010.534960,A1_86,0.055
,,00010.535040,A1_81,0.032
,,00010.535120,A1_78,0.04
,,00010.535280,A1_46,0.035
,,00010.535520,A1_37,0.027
,,00010.535520,A1_38,0.071
,,00010.535520,A1_65,0.18
,,00010.535600,A1_45,0.066
,,00010.535600,A1_53,0.087
,,00010.535680,A1_16,0.055
,,00010.535680,A1_18,0.041
,,00010.535680,A1_47,0.043
,,00010.535760,A1_21,0.027
,,00010.535760,A1_57,0.171
,,00010.535840,A1_36,0.057
,,00010.535840,A1_87,0.039
,,00010.535920,A1_27,0.056
,,00010.536000,A1_22,0.049
,,00010.536000,A1_62,0.053
,,00010.536000,A1_71,0.042
,,00010.536080,A1_82,0.238
,,00010.536160,A1_32,0.035
,,00010.536240,A1_48,0.034
,,00010.536240,A1_66,0.093
,,00010.536480,A1_13,0.069
,,00010.536480,A1_14,0.065
,,00010.536480,A1_61,0.058
,,00010.536560,A1_33,0.055
,,00010.536560,A1_44,0.045
,,00010.536640,A1_54,0.076
,,00010.536720,A1_11,0.104
,,00010.536880,A1_52,0.069
,,00010.536960,A1_17,0.036
,,00010.536960,A1_28,0.045
,,00010.536960,A1_75,0.041
,,00010.537040,A1_31,0.062
,,00010.537040,A1_41,0.029
,,00010.537120,A1_35,0.042
,,00010.537120,A1_56,0.033
,,00010.537200,A1_34,0.074
,,00010.537280,A1_68,0.043
,,00010.537360,A1_26,0.066
,,00010.537520,A1_86,0.04
,,00010.537600,A1_24,0.048
,,00010.537680,A1_76,0.133
,,00010.537840,A1_15,0.045
,,00010.537840,A1_65,0.109
,,00010.537840,A1_78,0.073
,,00010.537920,A1_18,0.042
,,00010.537920,A1_42,0.048
,,00010.537920,A1_85,0.037
,,00010.538080,A1_16,0.042
,,00010.538080,A1_46,0.075
,,00010.538160,A1_81,0.028
,,00010.538240,A1_64,0.033
,,00010.538240,A1_84,0.028
,,00010.538480,A1_32,0.025
,,00010.538560,A1_36,0.04
,,00010.538720,A1_66,0.051
,,00010.538720,A1_71,0.041
,,00010.538960,A1_23,0.052
,,00010.538960,A1_54,0.065
,,00010.538960,A1_58,0.05
,,00010.539120,A1_11,0.055
,,00010.539120,A1_21,0.04
,,00010.539120,A1_87,0.034
,,00010.539200,A1_37,0.036
,,00010.539200,A1_77,0.041
,,00010.539360,A1_57,0.036
,,00010.539360,A1_61,0.039
,,00010.539440,A1_75,0.067
,,00010.539520,A1_35,0.045
,,00010.539600,A1_33,0.072
,,00010.539600,A1_34,0.043
,,00010.539680,A1_17,0.07
,,00010.539680,A1_52,0.051
,,00010.539760,A1_28,0.038
,,00010.540000,A1_27,0.039
,,00010.540000,A1_47,0.068
,,00010.540080,A1_44,0.076
,,00010.540080,A1_56,0.041
,,00010.540080,A1_86,0.037
,,00010.540160,A1_31,0.04
,,00010.540160,A1_65,0.103
,,00010.540480,A1_63,0.04
,,00010.540480,A1_78,0.074
,,00010.540480,A1_83,0.042
,,00010.540640,A1_45,0.04
,,00010.540720,A1_64,0.034
,,00010.540720,A1_81,0.027
,,00010.540880,A1_12,0.082
,,00010.540880,A1_55,0.057
,,00010.540960,A1_53,0.068
,,00010.541120,A1_51,0.101
,,00010.541120,A1_71,0.061
,,00010.541280,A1_73,0.049
,,00010.541360,A1_23,0.073
,,00010.541360,A1_48,0.052
,,00010.541360,A1_66,0.054
,,00010.541520,A1_54,0.094
,,00010.541520,A1_62,0.049
,,00010.541600,A1_14,0.039
,,00010.541680,A1_22,0.043
,,00010.541680,A1_88,0.079
,,00010.541760,A1_85,0.041
,,00010.541840,A1_57,0.074
,,00010.541840,A1_75,0.035
,,00010.541920,A1_58,0.076
,,00010.541920,A1_61,0.032
,,00010.542000,A1_37,0.056
,,00010.542080,A1_35,0.05
,,00010.542160,A1_25,0.045
,,00010.542160,A1_32,0.037
,,00010.542240,A1_21,0.051
,,00010.542320,A1_33,0.052
,,00010.542400,A1_44,0.046
,,00010.542480,A1_26,0.063
,,00010.542480,A1_31,0.032
,,00010.542480,A1_56,0.03
,,00010.542560,A1_34,0.076
,,00010.542560,A1_86,0.057
,,00010.542640,A1_27,0.053
,,00010.542640,A1_87,0.038
,,00010.542720,A1_65,0.095
,,00010.542880,A1_15,0.042
,,00010.542880,A1_76,0.079
,,00010.542960,A1_16,0.054
,,00010.543120,A1_68,0.035
,,00010.543280,A1_12,0.039
,,00010.543280,A1_46,0.041
,,00010.543440,A1_42,0.029
,,00010.543520,A1_24,0.055
,,00010.543520,A1_74,0.041
,,00010.543760,A1_13,0.04
,,00010.543760,A1_71,0.045
,,00010.543840,A1_36,0.042
,,00010.543840,A1_62,0.036
,,00010.543840,A1_67,0.113
,,00010.543920,A1_66,0.035
,,00010.544080,A1_11,0.048
,,00010.544080,A1_47,0.039
,,00010.544080,A1_88,0.065
,,00010.544160,A1_55,0.051
,,00010.544240,A1_37,0.025
,,00010.544240,A1_54,0.052
,,00010.544320,A1_23,0.059
,,00010.544320,A1_57,0.043
,,00010.544320,A1_58,0.051
,,00010.544400,A1_35,0.081
,,00010.544400,A1_82,0.099
,,00010.544480,A1_73,0.04
,,00010.544560,A1_75,0.032
,,00010.544720,A1_21,0.062
,,00010.544720,A1_33,0.07
,,00010.544720,A1_48,0.037
,,00010.544800,A1_14,0.032
,,00010.544800,A1_25,0.039
,,00010.544800,A1_26,0.039
,,00010.545120,A1_17,0.043
,,00010.545120,A1_18,0.06
,,00010.545120,A1_65,0.064
,,00010.545200,A1_86,0.058
,,00010.545280,A1_63,0.022
,,00010.545360,A1_38,0.052
,,00010.545360,A1_72,0.109
,,00010.545360,A1_83,0.031
,,00010.545440,A1_27,0.03
,,00010.545440,A1_76,0.05
,,00010.545440,A1_78,0.058
,,00010.545600,A1_34,0.063
,,00010.545760,A1_15,0.051
,,00010.545760,A1_64,0.048
,,00010.545760,A1_74,0.054
,,00010.545840,A1_87,0.035
,,00010.545920,A1_28,0.035
,,00010.546000,A1_13,0.056
,,00010.546000,A1_51,0.083
,,00010.546160,A1_46,0.023
,,00010.546320,A1_11,0.052
,,00010.546400,A1_67,0.11
,,00010.546480,A1_24,0.049
,,00010.546480,A1_47,0.046
,,00010.546720,A1_54,0.065
,,00010.546960,A1_12,0.052
,,00010.546960,A1_53,0.088
,,00010.547040,A1_26,0.023
,,00010.547040,A1_58,0.063
,,00010.547040,A1_75,0.052
,,00010.547120,A1_57,0.076
,,00010.547120,A1_82,0.146
,,00010.547200,A1_25,0.03
,,00010.547440,A1_56,0.051
,,00010.547440,A1_73,0.034
,,00010.547440,A1_86,0.049
,,00010.547600,A1_21,0.033
,,00010.547600,A1_36,0.05
,,00010.547600,A1_37,0.029
,,00010.547680,A1_31,0.076
,,00010.547680,A1_32,0.049
,,00010.547680,A1_44,0.048
,,00010.547760,A1_48,0.055
,,00010.547920,A1_18,0.031
,,00010.547920,A1_63,0.038
,,00010.547920,A1_83,0.036
,,00010.548080,A1_38,0.071
,,00010.548160,A1_17,0.047
,,00010.548160,A1_78,0.037
,,00010.548480,A1_76,0.05
,,00010.548560,A1_51,0.074
,,00010.548640,A1_11,0.057
,,00010.548800,A1_14,0.047
,,00010.548880,A1_66,0.065
,,00010.548880,A1_71,0.065
,,00010.548880,A1_87,0.04
,,00010.548960,A1_62,0.058
,,00010.549040,A1_54,0.053
,,00010.549120,A1_13,0.062
,,00010.549120,A1_22,0.049
,,00010.549120,A1_67,0.138
,,00010.549200,A1_16,0.028
,,00010.549200,A1_27,0.041
,,00010.549280,A1_35,0.052
,,00010.549280,A1_46,0.042
,,00010.549280,A1_58,0.051
,,00010.549360,A1_88,0.091
,,00010.549440,A1_53,0.068
,,00010.549520,A1_55,0.073
,,00010.549520,A1_57,0.04
,,00010.549520,A1_82,0.188
,,00010.549600,A1_23,0.057
,,00010.549600,A1_47,0.03
,,00010.549680,A1_42,0.035
,,00010.549760,A1_12,0.058
,,00010.549760,A1_45,0.045
,,00010.549840,A1_61,0.023
,,00010.549840,A1_75,0.056
,,00010.549920,A1_37,0.041
,,00010.549920,A1_44,0.047
,,00010.550080,A1_36,0.029
,,00010.550080,A1_73,0.027
,,00010.550160,A1_21,0.056
,,00010.550160,A1_48,0.041
,,00010.550240,A1_24,0.057
,,00010.550240,A1_33,0.039
,,00010.550320,A1_85,0.037
,,00010.550480,A1_41,0.029
,,00010.550480,A1_77,0.042
,,00010.550560,A1_32,0.04
,,00010.550560,A1_38,0.024
,,00010.550560,A1_65,0.093
,,00010.550640,A1_56,0.058
,,00010.550640,A1_68,0.034
,,00010.550640,A1_74,0.052
,,00010.550720,A1_17,0.037
,,00010.550720,A1_26,0.029
,,00010.550720,A1_72,0.05
,,00010.550880,A1_18,0.043
,,00010.550880,A1_51,0.054
,,00010.550960,A1_28,0.031
,,00010.551120,A1_64,0.03
,,00010.551120,A1_86,0.06
,,00010.551360,A1_78,0.044
,,00010.551600,A1_27,0.047
,,00010.551680,A1_35,0.057
,,00010.551760,A1_15,0.039
,,00010.551760,A1_53,0.037
,,00010.551840,A1_82,0.131
,,00010.552000,A1_13,0.034
,,00010.552000,A1_45,0.047
,,00010.552080,A1_62,0.033
,,00010.552160,A1_37,0.029
,,00010.552160,A1_55,0.044
,,00010.552240,A1_44,0.048
,,00010.552240,A1_46,0.05
,,00010.552400,A1_11,0.049
,,00010.552480,A1_48,0.061
,,00010.552560,A1_71,0.029
,,00010.552560,A1_75,0.037
,,00010.552640,A1_22,0.039
,,00010.552640,A1_23,0.046
,,00010.552640,A1_66,0.061
,,00010.552720,A1_14,0.039
,,00010.552800,A1_87,0.035
,,00010.552880,A1_24,0.031
,,00010.552880,A1_56,0.029
,,00010.552880,A1_76,0.045
,,00010.553200,A1_26,0.043
,,00010.553200,A1_33,0.071
,,00010.553440,A1_61,0.025
,,00010.553520,A1_28,0.026
,,00010.553520,A1_42,0.03
,,00010.553600,A1_17,0.054
,,00010.553680,A1_38,0.052
,,00010.553680,A1_65,0.058
,,00010.554000,A1_52,0.033
,,00010.554080,A1_21,0.049
,,00010.554080,A1_35,0.083
,,00010.554080,A1_41,0.026
,,00010.554160,A1_32,0.047
,,00010.554160,A1_54,0.039
,,00010.554240,A1_15,0.035
,,00010.554320,A1_13,0.041
,,00010.554320,A1_86,0.039
,,00010.554560,A1_57,0.047
,,00010.554560,A1_67,0.13
,,00010.554640,A1_82,0.059
,,00010.554720,A1_55,0.048
,,00010.554880,A1_31,0.041
,,00010.554960,A1_58,0.066
,,00010.554960,A1_88,0.047
,,00010.555040,A1_27,0.03
,,00010.555040,A1_45,0.054
,,00010.555040,A1_66,0.068
,,00010.555120,A1_81,0.029
,,00010.555200,A1_14,0.052
,,00010.555200,A1_36,0.035
,,00010.555200,A1_56,0.047
,,00010.555280,A1_11,0.046
,,00010.555280,A1_23,0.041
,,00010.555360,A1_12,0.036
,,00010.555360,A1_37,0.02
,,00010.555440,A1_53,0.083
,,00010.555440,A1_76,0.034
,,00010.555520,A1_25,0.031
,,00010.555520,A1_78,0.039
,,00010.555680,A1_22,0.037
,,00010.555680,A1_47,0.036
,,00010.555760,A1_51,0.083
,,00010.555760,A1_61,0.043
,,00010.555760,A1_72,0.049
,,00010.555840,A1_46,0.06
,,00010.556000,A1_16,0.032
,,00010.556000,A1_26,0.03
,,00010.556080,A1_77,0.027
,,00010.556320,A1_48,0.071
,,00010.556480,A1_15,0.043
,,00010.556480,A1_35,0.064
,,00010.556480,A1_63,0.026
,,00010.556560,A1_38,0.058
,,00010.556640,A1_34,0.038
,,00010.556800,A1_32,0.04
,,00010.556800,A1_68,0.043
,,00010.556880,A1_24,0.079
,,00010.556880,A1_54,0.057
,,00010.556880,A1_67,0.031
,,00010.557040,A1_13,0.046
,,00010.557120,A1_33,0.042
,,00010.557120,A1_62,0.032
,,00010.557280,A1_58,0.027
,,00010.557280,A1_84,0.039
,,00010.557520,A1_14,0.029
,,00010.557520,A1_56,0.033
,,00010.557600,A1_27,0.027
,,00010.557680,A1_17,0.035
,,00010.557680,A1_23,0.063
,,00010.557760,A1_41,0.022
,,00010.557760,A1_42,0.022
,,00010.557760,A1_88,0.025
,,00010.557840,A1_45,0.039
,,00010.557840,A1_66,0.056
,,00010.557840,A1_74,0.033
,,00010.558000,A1_12,0.045
,,00010.558000,A1_53,0.091
,,00010.558080,A1_76,0.056
,,00010.558160,A1_22,0.04
,,00010.558160,A1_81,0.027
,,00010.558320,A1_31,0.031
,,00010.558480,A1_25,0.033
,,00010.558560,A1_72,0.041
,,00010.558640,A1_18,0.033
,,00010.558640,A1_21,0.043
,,00010.558640,A1_75,0.036
,,00010.558720,A1_63,0.042
,,00010.558720,A1_73,0.041
,,00010.558720,A1_83,0.039
,,00010.558800,A1_16,0.037
,,00010.558800,A1_48,0.051
,,00010.559040,A1_46,0.041
,,00010.559040,A1_61,0.033
,,00010.559120,A1_35,0.085
,,00010.559120,A1_38,0.021
,,00010.559120,A1_65,0.091
,,00010.559200,A1_32,0.036
,,00010.559280,A1_13,0.033
,,00010.559280,A1_77,0.032
,,00010.559360,A1_28,0.026
,,00010.559360,A1_82,0.034
,,00010.559440,A1_33,0.048
,,00010.559440,A1_52,0.037
,,00010.559440,A1_55,0.056
,,00010.559520,A1_34,0.05
,,00010.559520,A1_86,0.037
,,00010.559600,A1_57,0.035
,,00010.559680,A1_54,0.084
,,00010.559680,A1_58,0.027
,,00010.559680,A1_87,0.041
,,00010.559760,A1_26,0.069
,,00010.559760,A1_62,0.032
,,00010.559920,A1_15,0.037
,,00010.560080,A1_88,0.028
,,00010.560160,A1_23,0.043
,,00010.560160,A1_45,0.037
,,00010.560160,A1_85,0.025
,,00010.560320,A1_24,0.037
,,00010.560320,A1_66,0.043
,,00010.560560,A1_42,0.025
,,00010.560640,A1_71,0.029
,,00010.560720,A1_17,0.041
,,00010.560800,A1_25,0.033
,,00010.560800,A1_27,0.038
,,00010.560800,A1_37,0.03
,,00010.560960,A1_72,0.047
,,00010.561040,A1_36,0.031
,,00010.561120,A1_16,0.044
,,00010.561120,A1_44,0.038
,,00010.561280,A1_53,0.041
,,00010.561280,A1_67,0.124
,,00010.561360,A1_14,0.022
,,00010.561440,A1_11,0.075
,,00010.561440,A1_75,0.045
,,00010.561440,A1_83,0.042
,,00010.561600,A1_13,0.062
,,00010.561600,A1_38,0.053
,,00010.561760,A1_48,0.036
,,00010.561760,A1_65,0.077
,,00010.561760,A1_84,0.038
,,00010.561840,A1_51,0.107
,,00010.561920,A1_86,0.054
,,00010.562080,A1_32,0.043
,,00010.562080,A1_52,0.045
,,00010.562160,A1_35,0.067
,,00010.562240,A1_62,0.041
,,00010.562320,A1_56,0.021
,,00010.562400,A1_21,0.026
,,00010.562400,A1_34,0.03
,,00010.562480,A1_33,0.029
,,00010.562480,A1_74,0.028
,,00010.562560,A1_46,0.047
,,00010.562560,A1_58,0.043
,,00010.562640,A1_57,0.041
,,00010.562720,A1_31,0.042
,,00010.562800,A1_23,0.041
,,00010.562800,A1_64,0.022
,,00010.562800,A1_82,0.037
,,00010.562880,A1_55,0.035
,,00010.562960,A1_54,0.054
,,00010.562960,A1_61,0.029
,,00010.563200,A1_81,0.021
,,00010.563280,A1_26,0.041
,,00010.563280,A1_66,0.054
,,00010.563280,A1_71,0.04
,,00010.563360,A1_16,0.033
,,00010.563360,A1_44,0.048
,,00010.563440,A1_24,0.035
,,00010.563440,A1_72,0.044
,,00010.563440,A1_87,0.029
,,00010.563680,A1_15,0.039
,,00010.563680,A1_76,0.032
,,00010.563760,A1_14,0.032
,,00010.563760,A1_18,0.041
,,00010.563920,A1_47,0.06
,,00010.564000,A1_17,0.039
,,00010.564000,A1_25,0.037
,,00010.564320,A1_48,0.033
,,00010.564320,A1_53,0.076
,,00010.564320,A1_68,0.024
,,00010.564480,A1_45,0.036
,,00010.564560,A1_35,0.05
,,00010.564640,A1_75,0.05
,,00010.564720,A1_88,0.046
,,00010.564800,A1_32,0.029
,,00010.564880,A1_57,0.031
,,00010.564880,A1_58,0.026
,,00010.564960,A1_34,0.036
,,00010.565120,A1_46,0.048
,,00010.565200,A1_13,0.03
,,00010.565200,A1_54,0.06
,,00010.565200,A1_82,0.176
,,00010.565360,A1_23,0.039
,,00010.565520,A1_31,0.028
,,00010.565520,A1_51,0.063
,,00010.565520,A1_71,0.033
,,00010.565600,A1_55,0.045
,,00010.565680,A1_84,0.022
,,00010.565760,A1_78,0.031
,,00010.566000,A1_72,0.047
,,00010.566160,A1_52,0.05
,,00010.566160,A1_61,0.055
,,00010.566240,A1_56,0.022
,,00010.566240,A1_62,0.034
,,00010.566320,A1_22,0.028
,,00010.566400,A1_74,0.034
,,00010.566400,A1_76,0.035
,,00010.566480,A1_18,0.052
,,00010.566560,A1_14,0.029
,,00010.566560,A1_64,0.021
,,00010.566640,A1_33,0.034
,,00010.566640,A1_47,0.047
,,00010.566720,A1_48,0.108
,,00010.566800,A1_86,0.037
,,00010.566960,A1_68,0.042
,,00010.567040,A1_35,0.042
,,00010.567040,A1_38,0.04
,,00010.567120,A1_44,0.04
,,00010.567280,A1_65,0.06
,,00010.567280,A1_75,0.03
,,00010.567280,A1_87,0.043
,,00010.567360,A1_34,0.075
,,00010.567440,A1_32,0.054
,,00010.567520,A1_46,0.04
,,00010.567520,A1_57,0.033
,,00010.567520,A1_58,0.048
,,00010.567680,A1_11,0.057
,,00010.567680,A1_54,0.052
,,00010.567760,A1_23,0.076
,,00010.567760,A1_27,0.032
,,00010.567760,A1_51,0.065
,,00010.567840,A1_37,0.037
,,00010.567840,A1_53,0.079
,,00010.567840,A1_55,0.052
,,00010.568000,A1_13,0.043
,,00010.568080,A1_45,0.046
,,00010.568080,A1_84,0.03
,,00010.568160,A1_82,0.054
,,00010.568240,A1_21,0.036
,,00010.568240,A1_31,0.078
,,00010.568320,A1_36,0.032
,,00010.568400,A1_16,0.039
,,00010.568400,A1_25,0.043
,,00010.568480,A1_17,0.031
,,00010.568480,A1_41,0.024
,,00010.568880,A1_22,0.025
,,00010.568960,A1_14,0.03
,,00010.568960,A1_48,0.049
,,00010.569040,A1_15,0.039
,,00010.569040,A1_71,0.06
,,00010.569120,A1_47,0.025
,,00010.569120,A1_52,0.047
,,00010.569120,A1_62,0.029
,,00010.569280,A1_72,0.057
,,00010.569440,A1_18,0.043
,,00010.569440,A1_28,0.038
,,00010.569520,A1_74,0.041
,,00010.569520,A1_88,0.047
,,00010.569680,A1_65,0.047
,,00010.569760,A1_26,0.057
,,00010.569760,A1_75,0.034
,,00010.569760,A1_86,0.049
,,00010.570080,A1_58,0.046
,,00010.570160,A1_54,0.036
,,00010.570160,A1_56,0.028
,,00010.570240,A1_34,0.033
,,00010.570560,A1_11,0.046
,,00010.570640,A1_46,0.038
,,00010.570640,A1_51,0.056
,,00010.570720,A1_68,0.033
,,00010.570720,A1_78,0.053
,,00010.570800,A1_17,0.032
,,00010.570880,A1_23,0.033
,,00010.570880,A1_27,0.032
,,00010.570960,A1_25,0.039
,,00010.571280,A1_13,0.025
,,00010.571280,A1_66,0.071
,,00010.571520,A1_48,0.051
,,00010.571760,A1_88,0.036
,,00010.571840,A1_76,0.041
,,00010.571920,A1_15,0.033
,,00010.572000,A1_21,0.028
,,00010.572000,A1_55,0.039
,,00010.572240,A1_38,0.061
,,00010.572320,A1_18,0.043
,,00010.572320,A1_77,0.033
,,00010.572480,A1_16,0.024
,,00010.572480,A1_47,0.041
,,00010.572640,A1_58,0.045
,,00010.572720,A1_31,0.022
,,00010.572800,A1_33,0.037
,,00010.572800,A1_34,0.034
,,00010.572880,A1_11,0.045
,,00010.572880,A1_53,0.056
,,00010.572960,A1_12,0.04
,,00010.572960,A1_28,0.03
,,00010.573120,A1_17,0.033
,,00010.573120,A1_27,0.023
,,00010.573120,A1_54,0.036
,,00010.573280,A1_45,0.034
,,00010.573280,A1_51,0.063
,,00010.573360,A1_44,0.039
,,00010.573360,A1_57,0.036
,,00010.573360,A1_78,0.041
,,00010.573440,A1_23,0.028
,,00010.573440,A1_46,0.027
,,00010.573440,A1_61,0.032
,,00010.573520,A1_52,0.056
,,00010.573520,A1_72,0.058
,,00010.573600,A1_22,0.031
,,00010.573760,A1_62,0.035
,,00010.574000,A1_68,0.036
,,00010.574160,A1_35,0.079
,,00010.574160,A1_48,0.045
,,00010.574240,A1_73,0.032
,,00010.574320,A1_65,0.038
,,00010.574480,A1_71,0.046
,,00010.574480,A1_82,0.161
,,00010.574480,A1_83,0.026
,,00010.574560,A1_24,0.043
,,00010.574560,A1_63,0.02
,,00010.574560,A1_66,0.036
,,00010.574640,A1_85,0.035
,,00010.574720,A1_55,0.069
,,00010.574720,A1_75,0.045
,,00010.575040,A1_34,0.036
,,00010.575040,A1_76,0.035
,,00010.575280,A1_56,0.036
,,00010.575360,A1_38,0.049
,,00010.575440,A1_53,0.066
,,00010.575520,A1_54,0.048
,,00010.575920,A1_11,0.048
,,00010.576000,A1_58,0.031
,,00010.576000,A1_84,0.032
,,00010.576160,A1_72,0.044
,,00010.576240,A1_22,0.041
,,00010.576400,A1_48,0.096
,,00010.576480,A1_17,0.026
,,00010.576640,A1_18,0.036
,,00010.576640,A1_21,0.026
,,00010.576720,A1_82,0.049
,,00010.576880,A1_83,0.032
,,00010.576880,A1_86,0.037
,,00010.576960,A1_26,0.024
,,00010.576960,A1_66,0.098
,,00010.577120,A1_15,0.038
,,00010.577120,A1_75,0.051
,,00010.577280,A1_76,0.052
,,00010.577360,A1_24,0.025
,,00010.577440,A1_88,0.04
,,00010.577600,A1_44,0.041
,,00010.577600,A1_61,0.028
,,00010.577600,A1_62,0.03
,,00010.577760,A1_16,0.023
,,00010.577760,A1_46,0.029
,,00010.577840,A1_68,0.049
,,00010.577840,A1_78,0.031
,,00010.578000,A1_28,0.038
,,00010.578080,A1_57,0.067
,,00010.578160,A1_52,0.026
,,00010.578160,A1_53,0.062
,,00010.578160,A1_71,0.049
,,00010.578240,A1_11,0.036
,,00010.578240,A1_51,0.07
,,00010.578240,A1_63,0.034
,,00010.578320,A1_13,0.029
,,00010.578560,A1_12,0.023
,,00010.578560,A1_23,0.048
,,00010.578640,A1_64,0.029
,,00010.578640,A1_74,0.05
,,00010.578720,A1_58,0.045
,,00010.578800,A1_32,0.035
,,00010.578800,A1_55,0.038
,,00010.578800,A1_84,0.041
,,00010.578880,A1_72,0.047
,,00010.578960,A1_18,0.034
,,00010.578960,A1_31,0.043
,,00010.578960,A1_34,0.03
,,00010.579040,A1_45,0.033
,,00010.579040,A1_56,0.034
,,00010.579040,A1_82,0.087
,,00010.579120,A1_48,0.028
,,00010.579200,A1_26,0.026
,,00010.579280,A1_65,0.109
,,00010.579360,A1_35,0.049
,,00010.579360,A1_38,0.045
,,00010.579360,A1_67,0.03
,,00010.579440,A1_37,0.022
,,00010.579600,A1_66,0.085
,,00010.579680,A1_21,0.031
,,00010.579840,A1_83,0.025
,,00010.579920,A1_73,0.026
,,00010.580000,A1_87,0.031
,,00010.580080,A1_27,0.031
,,00010.580400,A1_28,0.028
,,00010.580560,A1_51,0.05
,,00010.580560,A1_53,0.022
,,00010.580560,A1_71,0.033
,,00010.580720,A1_24,0.034
,,00010.580800,A1_46,0.05
,,00010.580800,A1_54,0.04
,,00010.580800,A1_76,0.043
,,00010.580880,A1_33,0.032
,,00010.580960,A1_88,0.04
,,00010.581040,A1_23,0.027
,,00010.581040,A1_75,0.036
,,00010.581120,A1_15,0.029
,,00010.581120,A1_58,0.041
,,00010.581120,A1_72,0.047
,,00010.581200,A1_18,0.046
,,00010.581280,A1_11,0.037
,,00010.581280,A1_31,0.025
,,00010.581360,A1_52,0.024
,,00010.581440,A1_26,0.034
,,00010.581440,A1_68,0.027
,,00010.581440,A1_85,0.04
,,00010.581520,A1_16,0.026
,,00010.581600,A1_38,0.045
,,00010.581600,A1_56,0.032
,,00010.581680,A1_61,0.034
,,00010.581760,A1_77,0.024
,,00010.581840,A1_65,0.021
,,00010.581920,A1_66,0.035
,,00010.582160,A1_35,0.039
,,00010.582240,A1_21,0.035
,,00010.582240,A1_82,0.05
,,00010.582320,A1_63,0.023
,,00010.582320,A1_73,0.024
,,00010.582400,A1_84,0.034
,,00010.582400,A1_87,0.027
,,00010.582560,A1_55,0.026
,,00010.582720,A1_44,0.052
,,00010.582800,A1_48,0.028
,,00010.582880,A1_27,0.029
,,00010.582880,A1_37,0.031
,,00010.582960,A1_45,0.028
,,00010.583040,A1_32,0.031
,,00010.583120,A1_22,0.023
,,00010.583120,A1_46,0.038
,,00010.583200,A1_51,0.039
,,00010.583360,A1_14,0.033
,,00010.583360,A1_86,0.044
,,00010.583440,A1_57,0.042
,,00010.583680,A1_58,0.033
,,00010.583680,A1_75,0.041
,,00010.583840,A1_24,0.049
,,00010.583920,A1_13,0.042
,,00010.583920,A1_18,0.06
,,00010.583920,A1_68,0.026
,,00010.584080,A1_53,0.043
,,00010.584080,A1_71,0.035
,,00010.584160,A1_88,0.036
,,00010.584240,A1_67,0.147
,,00010.584320,A1_11,0.04
,,00010.584320,A1_72,0.045
,,00010.584400,A1_56,0.038
,,00010.584560,A1_65,0.068
,,00010.584640,A1_82,0.024
,,00010.584800,A1_38,0.041
,,00010.584800,A1_54,0.046
,,00010.584800,A1_66,0.034
,,00010.585040,A1_26,0.029
,,00010.585360,A1_27,0.025
,,00010.585360,A1_32,0.049
,,00010.585360,A1_44,0.034
,,00010.585440,A1_35,0.048
,,00010.585440,A1_45,0.041
,,00010.585520,A1_55,0.042
,,00010.585600,A1_23,0.046
,,00010.585680,A1_57,0.033
,,00010.585680,A1_73,0.026
,,00010.585840,A1_14,0.033
,,00010.586080,A1_51,0.055
,,00010.586160,A1_12,0.032
,,00010.586160,A1_46,0.026
,,00010.586240,A1_48,0.037
,,00010.586240,A1_58,0.036
,,00010.586240,A1_61,0.034
,,00010.586320,A1_28,0.033
,,00010.586320,A1_31,0.044
,,00010.586480,A1_17,0.031
,,00010.586560,A1_52,0.028
,,00010.586560,A1_53,0.039
,,00010.586640,A1_88,0.04
,,00010.586800,A1_56,0.038
,,00010.586800,A1_71,0.028
,,00010.586880,A1_42,0.029
,,00010.586880,A1_72,0.043
,,00010.586960,A1_62,0.031
,,00010.587360,A1_76,0.03
,,00010.587440,A1_24,0.032
,,00010.587440,A1_66,0.11
,,00010.587520,A1_26,0.03
,,00010.587520,A1_54,0.06
,,00010.587520,A1_75,0.039
,,00010.587600,A1_11,0.035
,,00010.587600,A1_36,0.026
,,00010.587760,A1_34,0.033
,,00010.587760,A1_45,0.034
,,00010.587840,A1_67,0.032
,,00010.587920,A1_64,0.039
,,00010.587920,A1_84,0.036
,,00010.588000,A1_77,0.034
,,00010.588080,A1_14,0.034
,,00010.588080,A1_44,0.035
,,00010.588240,A1_35,0.04
,,00010.588320,A1_32,0.03
,,00010.588320,A1_78,0.038
,,00010.588400,A1_55,0.078
