Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00001.470080,A5_43,5,0.218
,,00001.630640,A5_22,9,0.11344
,,00000.586880,C5_13,128,1.07968
,,00001.377360,C5_43,15,0.3652
,,00001.349600,D5_14,51,0.39664
,,00000.152320,D5_43,414,1.62776
,,00000.164000,D5_44,381,1.58328
,,00000.124240,A6_34,476,1.58912
,,00000.560480,B6_31,341,1.29096
,,00000.968880,C6_11,164,0.7676
,,00001.759600,C6_34,5,0.112
,,00000.999520,C6_24,118,0.65256
,,00001.074160,D6_11,113,0.61576
,,00001.756000,D6_23,19,0.13592
,,00001.750640,D6_34,18,0.08584
,,00001.966800,C1_31,6,0.08264
,,00002.001120,B1_41,17,0.12392
,,00000.981520,B1_22,112,1.01024
,,00000.949440,B1_44,162,1.07536
,,00002.002160,D2_31,5,0.07728
,,00000.159120,C2_42,311,1.74392
,,00001.773600,B2_11,33,0.34968
,,00001.743920,A2_34,15,0.17504
,,00001.670000,D3_21,9,0.26528
,,00000.248640,D3_14,257,1.73688
,,00001.155520,D3_33,276,0.84088
,,00001.884400,C3_33,9,0.1136
,,00000.915760,C3_34,195,1.22696
,,00002.000560,B3_41,8,0.04976
,,00001.008960,B3_21,147,0.9664
,,00002.017760,A3_13,5,0.06504
,,00000.063680,B4_14,265,2.03376
,,00001.900960,B4_24,9,0.0944
,,00001.954880,C4_23,5,0.03
,,00000.746240,C4_34,247,1.2072
,,00000.658560,C4_43,77,1.27432
,,00000.836480,C4_22,130,1.31056
,,00002.001840,A5_13,11,0.0408
,,00001.947840,D5_44,5,0.06224
,,00002.005120,A6_23,14,0.11
,,00000.351600,B6_14,420,1.56376
,,00002.027280,C6_34,6,0.11152
,,00000.931120,C6_22,242,1.06032
,,00001.023360,D6_14,198,0.96584
,,00002.192640,D1_22,7,0.078
,,00001.950000,D1_33,14,0.23
,,00002.159840,D1_44,8,0.08656
,,00001.945360,C1_22,35,0.2892
,,00002.250800,B1_41,14,0.07488
,,00002.144400,B1_22,15,0.12672
,,00002.129120,B1_44,8,0.09992
,,00002.253040,A1_14,8,0.04528
,,00002.261360,D2_41,13,0.13688
,,00001.562480,D2_24,112,0.74112
,,00001.502160,D2_32,108,0.71168
,,00001.926880,D2_42,27,0.32112
,,00001.252640,C2_23,190,0.98856
,,00001.742560,C2_14,68,0.53792
,,00001.087920,C2_33,205,1.15008
,,00002.250960,B2_11,16,0.13504
,,00001.719360,B2_42,62,0.50288
,,00002.124080,D3_33,15,0.25216
,,00002.268800,D3_32,8,0.06496
,,00001.160800,C3_31,170,1.0808
,,00001.676880,C3_13,192,0.61776
,,00000.981440,A3_31,222,1.25968
,,00000.335200,A4_43,437,1.9004
,,00001.898880,A4_32,24,0.33104
,,00002.222320,B4_14,5,0.08008
,,00001.632240,B4_34,54,0.61552
,,00002.108560,B4_24,5,0.11
,,00000.115840,C4_13,483,2.11288
,,00002.176320,C4_34,6,0.1328
,,00000.326000,A5_11,606,2.02136
,,00001.860480,A5_33,19,0.46384
,,00001.420640,A5_24,39,0.74168
,,00002.037520,A5_22,6,0.15992
,,00001.000960,B5_43,280,1.26448
,,00000.665120,C5_12,209,1.55456
,,00000.750480,C5_44,356,1.56568
,,00001.255360,A6_33,273,0.99288
,,00002.250800,B6_14,6,0.06256
,,00000.244000,B6_33,478,2.08576
,,00000.268960,B6_43,574,2.11888
,,00002.111920,C6_22,7,0.12696
,,00001.510640,D1_24,206,0.95792
,,00002.451360,D1_44,5,0.18016
,,00002.459520,C1_21,7,0.03728
,,00002.288240,C1_12,32,0.23224
,,00002.443360,A1_12,13,0.0968
,,00002.502480,D2_43,7,0.092
,,00002.441360,D2_42,27,0.14024
,,00000.569120,C2_21,601,1.95832
,,00002.402800,C2_14,10,0.10184
,,00002.372800,C2_33,9,0.11736
,,00002.500400,C2_24,7,0.04728
,,00002.501440,B2_12,6,0.03704
,,00001.721120,B2_13,216,0.76392
,,00000.932720,B2_33,218,1.5816
,,00002.338000,B2_42,6,0.13712
,,00000.927360,A2_23,250,1.61888
,,00001.000880,D3_42,269,1.5092
,,00002.449120,B3_21,6,0.09184
,,00002.148000,B3_34,10,0.31576
,,00002.367200,A3_31,14,0.1752
,,00001.003040,A3_44,302,1.54632
,,00001.014080,A3_42,264,1.4932
,,00002.358640,B4_24,6,0.13536
,,00001.250160,D4_12,287,1.20256
,,00001.530000,D4_13,194,0.882
,,00000.376880,A5_41,589,2.18416
,,00002.325680,A5_22,12,0.2432
,,00002.421680,C5_44,10,0.07672
,,00000.159440,C5_31,562,2.26008
,,00001.920640,D5_14,38,0.57776
,,00000.766080,D5_41,422,1.7184
,,00001.408400,A6_42,261,1.02696
,,00002.505920,B6_14,8,0.05328
,,00001.686400,B6_24,91,0.80424
,,00001.252000,B6_32,272,1.2308
,,00001.500400,C6_42,248,1.00032
,,00002.500240,D6_13,6,0.0624
,,00001.438640,D6_24,87,1.05672
,,00002.383680,D1_22,38,0.30528
,,00002.585920,C1_11,9,0.12824
,,00002.466640,B1_22,34,0.37256
,,00002.503120,A1_14,25,0.14816
,,00000.098400,A2_13,673,2.65392
,,00002.095760,D3_14,65,0.654
,,00002.674960,D3_42,10,0.07128
,,00002.109680,C3_33,87,0.65656
,,00001.160880,B3_23,360,1.63216
,,00001.187360,B3_32,432,1.55888
,,00002.668000,A3_42,5,0.06416
,,00001.750800,A4_13,215,0.96128
,,00001.125760,A4_33,273,1.73944
,,00002.002960,A4_34,198,0.83496
,,00001.877760,A4_24,71,0.8332
,,00002.598800,B4_24,6,0.20576
,,00002.356960,C4_23,12,0.30536
,,00002.448560,A5_11,18,0.29168
,,00000.660160,A5_44,333,2.08736
,,00002.752000,B5_24,9,0.03944
,,00001.508960,A6_11,252,1.22808
,,00001.506400,A6_31,322,1.36984
,,00002.677840,B6_24,8,0.11616
,,00002.708000,B6_32,6,0.1484
,,00002.751120,D6_13,6,0.04792
,,00001.010240,D6_33,461,1.70896
,,00002.613200,D6_24,11,0.14304
,,00001.500400,D6_21,261,1.24928
,,00002.253680,D1_12,170,0.81416
,,00002.807600,D1_22,18,0.23504
,,00002.615840,C1_21,33,0.3876
,,00002.824320,C1_11,26,0.17504
,,00003.000400,B1_13,8,0.06416
,,00000.854560,B1_23,364,2.10104
,,00002.754080,A1_14,28,0.358
,,00002.900800,C2_14,6,0.07856
,,00002.743760,B2_33,15,0.3036
,,00002.877200,A2_13,10,0.11592
,,00001.015360,D3_11,466,2.04936
,,00001.103360,D3_22,560,1.9216
,,00002.877440,D3_14,7,0.20128
,,00002.587920,C3_31,29,0.41112
,,00002.871840,C3_33,14,0.19768
,,00003.004640,C3_24,5,0.0476
,,00002.253200,B3_11,255,0.74616
,,00002.937360,B3_32,5,0.08792
,,00001.021680,A3_11,401,1.9612
,,00002.649440,A3_44,14,0.28696
,,00002.356480,A4_43,77,0.63608
,,00002.356640,A4_32,37,0.56944
,,00000.391200,B4_12,813,2.6076
,,00002.358640,C4_13,35,0.57584
,,00001.684880,D4_33,133,1.30904
,,00000.154160,D4_23,611,2.8748
