Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00189.429440,B5_22,10,0.26424
,,00190.909520,B5_12,12,0.26456
,,00190.916080,B5_22,7,0.31048
,,00192.201040,A3_34,12,0.25
,,00192.844400,C3_22,16,0.38064
,,00193.155520,A3_34,13,0.2636
,,00194.874400,B5_12,7,0.13072
,,00194.830480,B5_23,5,0.21888
,,00194.816320,B5_22,6,0.23248
,,00195.889440,B6_21,12,0.1944
,,00195.958000,A5_13,7,0.27216
,,00196.206720,A5_24,7,0.18536
,,00195.842800,B6_23,8,0.36192
,,00196.342320,A3_34,11,0.29464
,,00197.018560,B2_32,8,0.4052
,,00197.284000,C3_43,5,0.1596
,,00198.039680,D3_42,5,0.12368
,,00198.629840,B5_12,10,0.21488
,,00199.838880,A3_34,5,0.1268
,,00200.949840,D4_21,5,0.14856
,,00201.095600,B2_32,6,0.18872
,,00202.994080,A5_24,7,0.20952
,,00203.228080,B5_12,40,0.4076
,,00203.372960,B5_11,5,0.27496
,,00203.327680,B5_44,22,0.23736
,,00203.292640,B5_22,10,0.2888
,,00203.496960,D4_21,6,0.17536
,,00205.113760,A3_34,7,0.14752
,,00205.106240,B5_12,6,0.08656
,,00205.134800,B5_22,5,0.21712
,,00206.733040,C3_24,7,0.09896
,,00206.717200,C3_43,5,0.01704
,,00207.683440,A6_23,6,0.1552
,,00209.068880,A3_34,7,0.108
,,00209.303840,A3_34,5,0.1808
,,00210.079360,B3_22,7,0.07904
,,00209.935360,D4_32,7,0.22264
,,00209.986720,A5_13,7,0.23512
,,00209.890560,D4_43,39,0.55776
,,00209.852720,D4_21,22,0.55032
,,00210.220240,A5_24,7,0.19864
,,00210.578400,B2_31,5,0.08
,,00210.615280,B2_32,6,0.12816
,,00210.520080,D4_21,16,0.85528
,,00212.707200,B1_14,10,0.1948
,,00213.260400,A1_41,5,0.06304
,,00213.101040,C3_13,5,0.15952
,,00214.259520,C3_24,17,0.1184
,,00214.331120,C3_43,5,0.034
,,00214.293760,C3_22,6,0.10704
,,00214.304880,C3_14,7,0.10352
,,00214.917760,C3_22,7,0.11168
,,00215.956240,C3_24,15,0.21712
,,00217.836400,D3_42,14,0.31816
,,00218.648320,C3_14,6,0.058
,,00218.635520,C3_24,13,0.11048
,,00218.619760,C3_43,8,0.09976
,,00218.783600,C3_22,7,0.13744
,,00218.840000,C3_43,8,0.25336
,,00219.041520,D3_42,12,0.23776
,,00219.116800,A5_24,6,0.1896
,,00220.349040,D3_42,9,0.17832
,,00220.755120,C3_43,6,0.01688
,,00221.714880,D3_42,11,0.33152
,,00223.351040,C3_43,6,0.01688
,,00224.531600,A3_34,39,0.61032
,,00224.752960,A3_32,5,0.16208
,,00224.735920,A3_43,9,0.1736
,,00225.253520,D1_31,5,0.056
,,00225.848240,A2_44,7,0.25712
,,00226.013120,D3_42,5,0.17312
,,00226.179040,B3_22,6,0.03328
,,00225.929360,A3_34,17,0.51504
,,00226.927440,C3_22,14,0.18104
,,00227.216560,C3_22,10,0.19616
,,00228.913840,A3_34,6,0.36024
,,00230.376960,A5_13,8,0.22744
,,00230.561760,A5_24,8,0.3424
,,00231.144800,C3_43,5,0.22864
,,00231.162640,C3_22,9,0.2392
,,00231.617440,B1_14,8,0.17856
,,00231.806160,B5_12,6,0.15152
,,00233.730400,D4_43,8,0.10224
,,00233.635280,D4_21,11,0.19568
