Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00078.158240,A2_31,17,0.12568
,,00078.110400,A2_12,39,0.20216
,,00078.072960,A2_13,35,0.27712
,,00078.088800,A2_22,22,0.19672
,,00078.177280,A2_14,36,0.16064
,,00078.130000,A2_33,25,0.14984
,,00078.168720,A2_24,16,0.12632
,,00078.183840,A2_34,21,0.16328
,,00078.054560,A2_32,40,0.30432
,,00078.157120,A2_43,30,0.15176
,,00078.074320,A2_44,39,0.23504
,,00078.156400,A2_42,22,0.13928
,,00078.093440,A2_11,15,0.34704
,,00078.483440,B4_44,8,0.15128
,,00078.444480,B4_22,6,0.18928
,,00078.594000,B4_11,10,0.24352
,,00078.448160,B4_23,7,0.20192
,,00078.611760,B4_41,9,0.25616
,,00079.254560,A5_14,28,0.31312
,,00079.441600,A5_12,11,0.14096
,,00079.433200,A5_13,26,0.16296
,,00079.465360,A5_11,5,0.06232
,,00079.159920,A5_34,9,0.32928
,,00079.489920,A5_24,9,0.12024
,,00079.467520,A5_42,6,0.09696
,,00079.270960,A5_43,31,0.24232
,,00079.428400,A5_32,7,0.10344
,,00079.467920,A5_41,16,0.10024
,,00079.475840,A5_31,6,0.0572
,,00080.576400,D3_41,10,0.21512
,,00080.703440,D3_21,5,0.09856
,,00080.661440,D3_42,6,0.15608
,,00081.093760,A2_41,7,0.1964
,,00081.108800,A2_21,5,0.11888
,,00081.110480,A2_22,7,0.18144
,,00080.982400,A2_44,11,0.25552
,,00081.092560,A2_32,28,0.53568
,,00081.432160,B5_21,13,0.17232
,,00081.448320,B5_14,16,0.24192
,,00081.451120,B5_13,55,0.29736
,,00081.422800,B5_11,65,0.31944
,,00081.420880,B5_33,25,0.31104
,,00081.419760,B5_23,67,0.41448
,,00081.478960,B5_34,27,0.28
,,00081.475920,B5_24,40,0.23728
,,00081.433520,B5_42,58,0.33176
,,00081.433920,B5_43,52,0.3624
,,00081.487760,B5_32,31,0.23816
,,00081.484800,B5_44,34,0.20016
,,00081.458080,B5_41,43,0.25696
,,00081.446960,B5_31,60,0.27512
,,00081.467200,B5_22,38,0.25368
,,00081.782400,A2_32,7,0.19872
,,00081.458240,B5_12,60,0.4592
,,00082.109920,A2_32,10,0.26696
,,00082.718560,B5_12,5,0.1552
,,00083.968800,A2_41,5,0.08192
,,00083.899760,D4_42,8,0.22872
,,00083.882240,D4_32,22,0.26672
,,00083.944480,D4_21,7,0.09536
,,00083.937680,D4_31,10,0.19824
,,00083.918160,B5_12,6,0.22776
,,00084.238880,C1_41,5,0.15504
,,00084.112880,C1_11,25,0.2828
,,00084.273600,C1_12,11,0.08936
,,00084.285120,C1_22,5,0.07424
,,00084.233680,C1_34,10,0.13152
,,00084.024880,A2_32,6,0.13696
,,00084.732640,D3_41,13,0.21
,,00084.782240,D3_11,6,0.1956
,,00085.172880,D5_14,19,0.11608
,,00085.126000,D5_13,36,0.2312
,,00085.185840,D5_23,11,0.14392
,,00085.179840,D5_34,19,0.08592
,,00085.113600,D5_24,49,0.28568
,,00085.130960,D5_42,48,0.23096
,,00085.133360,D5_43,46,0.25576
,,00085.157040,D5_32,14,0.18344
,,00085.185040,D5_12,17,0.29448
,,00085.127520,D5_33,61,0.47712
,,00085.139840,D5_44,45,0.31688
,,00085.162960,D5_22,38,0.27792
,,00085.756560,A4_14,6,0.10184
,,00085.705280,A4_12,9,0.12888
,,00085.662240,A4_11,26,0.22856
,,00085.741200,A4_33,6,0.13296
,,00085.700560,A4_23,25,0.17304
,,00085.632080,A4_42,27,0.23232
,,00085.625760,A4_43,32,0.22496
,,00085.687360,A4_32,9,0.13016
,,00085.664720,A4_21,14,0.19736
,,00085.625440,A4_41,25,0.23808
,,00085.663600,A4_31,11,0.10768
,,00085.690240,A4_44,20,0.21368
,,00085.943200,D5_43,6,0.18152
,,00086.108880,D5_42,5,0.16344
,,00086.510240,D5_42,9,0.24872
,,00086.834800,D6_14,18,0.25544
,,00086.773760,D6_12,29,0.23448
,,00086.818640,D6_33,36,0.1924
,,00086.810720,D6_24,26,0.21976
,,00086.861680,D6_44,6,0.08256
,,00086.798800,D6_41,19,0.14224
,,00086.756560,D6_31,8,0.2052
,,00086.807920,D6_22,48,0.2808
,,00087.290320,C2_33,12,0.06032
,,00087.293360,C2_24,6,0.04944
,,00087.021280,D5_43,5,0.26176
,,00086.775280,D6_23,50,0.47096
,,00086.743680,D6_43,68,0.48768
,,00086.755360,D6_21,52,0.48536
,,00087.347200,A1_41,6,0.11048
,,00087.272400,A1_21,14,0.14712
,,00087.122720,C2_41,49,0.40512
,,00087.155680,C2_21,58,0.37248
,,00087.206400,C2_31,45,0.2732
,,00087.187360,C2_11,23,0.252
,,00087.298160,C2_12,9,0.14768
,,00087.258000,C2_22,18,0.23128
,,00087.277280,C2_23,17,0.26872
,,00087.189200,C2_34,34,0.28696
,,00087.288880,C2_32,21,0.16672
,,00087.217120,C2_43,25,0.3152
,,00087.274960,C2_44,27,0.21096
,,00087.278240,C2_42,31,0.25168
,,00087.154880,C2_14,60,0.5288
,,00087.350560,D5_42,6,0.3452
,,00088.197040,D5_43,5,0.17984
,,00088.111600,D6_12,8,0.17536
,,00088.436000,D5_14,7,0.17304
,,00088.286960,D5_44,5,0.21376
,,00088.878640,D4_32,8,0.18664
,,00089.168720,D4_32,7,0.17992
,,00089.474160,C2_11,6,0.22584
,,00089.474320,C2_12,11,0.3232
,,00089.708000,B1_41,37,0.37872
,,00089.738880,B1_21,32,0.30176
,,00089.707440,B1_31,23,0.2892
,,00089.845920,B1_12,11,0.12992
,,00089.819120,B1_13,22,0.14328
,,00089.715840,B1_22,21,0.20216
,,00089.811520,B1_23,30,0.2324
,,00089.795120,B1_14,9,0.15264
,,00089.832240,B1_33,9,0.0896
,,00089.822880,B1_24,28,0.1728
,,00089.785280,B1_34,29,0.198
,,00089.801760,B1_32,34,0.20248
,,00089.703680,B1_43,44,0.32504
,,00089.741440,B1_42,24,0.24184
,,00089.780960,C2_14,7,0.23296
,,00089.692880,B1_44,64,0.46248
,,00091.611920,C5_14,29,0.16728
,,00091.626960,C5_12,13,0.1912
,,00091.597200,C5_11,23,0.26288
,,00091.576160,C5_33,21,0.2712
,,00091.577760,C5_23,46,0.21464
,,00091.594720,C5_34,45,0.29088
,,00091.562720,C5_42,77,0.32328
,,00091.583680,C5_43,11,0.12008
,,00091.603680,C5_32,24,0.17104
,,00091.541280,C5_44,49,0.33312
,,00091.645760,C5_31,9,0.19184
,,00091.502880,C5_24,38,0.46632
,,00091.569360,C5_41,58,0.33408
,,00092.183760,D6_43,7,0.15976
,,00092.566160,B2_41,37,0.22032
,,00092.604480,B2_21,42,0.20928
,,00092.563760,B2_12,64,0.27648
,,00092.618960,B2_13,40,0.2616
,,00092.587200,B2_22,14,0.12672
,,00092.601760,B2_23,27,0.27832
,,00092.580240,B2_14,44,0.20688
,,00092.600800,B2_33,23,0.17888
,,00092.603280,B2_24,36,0.20088
,,00092.638400,B2_34,28,0.17464
,,00092.623680,B2_32,10,0.10936
,,00092.579680,B2_43,13,0.154
,,00092.615120,B2_42,34,0.19296
,,00092.672160,C4_14,9,0.08824
,,00092.621440,C4_12,42,0.19608
,,00092.675040,C4_13,9,0.05848
,,00092.681600,C4_23,29,0.15544
,,00092.662240,C4_34,24,0.18072
,,00092.656880,C4_24,30,0.19856
,,00092.664800,C4_42,17,0.21464
,,00092.667040,C4_32,32,0.17608
,,00092.621120,C4_21,49,0.26928
,,00092.613360,C4_41,50,0.24912
,,00092.642080,C4_31,29,0.21064
,,00092.628560,C4_22,33,0.224
,,00092.392880,C5_34,14,0.30848
,,00092.686720,D6_43,6,0.16792
,,00092.565120,B2_31,29,0.34552
,,00092.593760,B2_44,32,0.36592
,,00092.805200,C3_41,45,0.3416
,,00092.762560,C3_21,70,0.32624
,,00092.687760,C3_12,34,0.35264
,,00092.766160,C3_22,26,0.33848
,,00092.776320,C3_23,39,0.28688
,,00092.811920,C3_14,27,0.16584
,,00092.766480,C3_34,51,0.28112
,,00092.775200,C3_32,33,0.25088
,,00092.817200,C3_43,9,0.17232
,,00092.713200,C3_42,80,0.4076
,,00092.623440,C4_11,62,0.30248
,,00092.680160,C4_33,36,0.2232
,,00092.646160,C4_44,30,0.27184
,,00092.719760,C3_11,15,0.47136
,,00093.062160,D6_43,5,0.1888
,,00093.396480,D3_41,9,0.10488
,,00093.422960,D3_12,5,0.06184
,,00093.359520,D3_42,7,0.1764
,,00093.071200,C5_24,22,0.80328
,,00093.705520,C5_42,11,0.51016
,,00094.180960,C5_24,6,0.3296
,,00093.914560,C3_42,28,0.80936
,,00094.722240,B2_31,6,0.21376
,,00095.016080,C4_11,6,0.12848
,,00095.961120,C3_21,5,0.11336
,,00095.721440,C3_42,19,0.41824
,,00096.364720,C3_22,9,0.53392
,,00096.732880,B1_22,5,0.26184
,,00096.894080,B1_44,7,0.22288
,,00097.175920,C1_41,8,0.11656
,,00097.056720,C1_11,35,0.30296
,,00097.248240,C1_12,12,0.12464
,,00097.186320,C1_13,5,0.128
,,00097.231360,C1_22,5,0.11032
,,00097.212080,C1_24,6,0.09456
,,00097.130000,C1_34,11,0.18664
,,00097.087600,C1_44,5,0.16864
,,00097.273680,B1_44,9,0.17816
,,00097.905200,C3_42,6,0.12392
,,00098.044720,B2_31,6,0.24136
,,00098.096080,B2_12,14,0.13832
,,00098.077760,B2_13,6,0.16888
,,00098.076720,B2_23,5,0.09872
,,00098.053680,B2_14,6,0.11024
,,00097.977600,B2_44,9,0.24656
,,00098.127520,A5_34,17,0.24136
,,00098.215360,A5_24,16,0.08936
,,00098.193920,A5_44,26,0.1956
,,00098.158640,A5_21,15,0.15448
,,00098.135680,A5_31,16,0.17704
,,00098.320560,C3_23,5,0.32656
,,00098.063040,A5_14,58,0.4596
,,00098.203600,A5_12,40,0.20376
,,00098.126160,A5_13,56,0.35576
,,00098.191760,A5_11,37,0.26048
,,00098.228400,A5_33,20,0.20064
,,00098.208960,A5_23,45,0.2192
,,00098.132160,A5_42,46,0.2844
,,00098.132320,A5_43,52,0.27424
,,00098.149360,A5_32,53,0.29848
,,00098.132960,A5_41,54,0.30656
,,00098.232240,A5_22,33,0.2052
,,00098.847840,C4_11,9,0.43384
,,00099.113360,C5_14,32,0.20664
,,00099.210640,C5_12,11,0.13088
,,00099.077040,C5_11,21,0.28336
,,00099.046800,C5_33,23,0.3352
,,00099.132880,C5_23,43,0.23648
,,00099.074320,C5_24,30,0.3064
,,00099.123440,C5_43,9,0.1468
,,00099.177920,C5_32,18,0.1648
,,00098.987360,C5_34,53,0.43824
,,00099.035440,C5_42,79,0.39208
,,00099.111520,C5_44,46,0.30952
,,00099.235520,C5_21,7,0.22552
,,00099.040000,C5_41,60,0.44984
,,00099.736720,B5_21,13,0.14616
,,00099.749120,B5_14,12,0.162
,,00099.657360,B5_13,47,0.3188
,,00099.694160,B5_11,64,0.2812
,,00099.773920,B5_33,26,0.15472
,,00099.696800,B5_23,54,0.32032
,,00099.763040,B5_34,22,0.18184
,,00099.762480,B5_24,37,0.22544
,,00099.725200,B5_42,50,0.27248
,,00099.714320,B5_43,50,0.26072
,,00099.772240,B5_32,25,0.14072
,,00099.772000,B5_44,33,0.16128
,,00099.732720,B5_41,40,0.28
,,00099.726320,B5_31,55,0.25912
,,00099.732480,B5_22,34,0.27808
,,00099.721920,B5_12,57,0.52096
,,00100.057360,D6_43,5,0.1056
,,00100.320800,C3_42,9,0.26984
,,00101.112560,A5_13,7,0.2128
,,00102.083920,C5_11,6,0.11608
,,00102.044160,C5_33,8,0.12152
,,00102.137120,C5_23,5,0.08992
,,00102.069040,C5_24,23,0.2596
,,00102.068000,C5_42,26,0.3244
,,00102.089840,C5_44,11,0.13384
,,00102.059040,C5_41,15,0.20088
,,00101.996720,C5_34,42,0.53856
,,00102.347360,C3_42,10,0.36824
,,00102.938880,A5_12,5,0.21256
,,00103.521920,D3_41,9,0.20296
,,00103.575280,D3_11,8,0.12824
,,00103.946640,C5_42,16,0.19608
,,00103.971760,C5_44,5,0.13432
,,00103.953280,C5_41,13,0.17496
,,00103.982560,C3_14,7,0.40176
,,00103.984880,C5_24,14,0.22376
,,00103.973840,C5_34,47,0.58912
,,00105.162320,C3_14,5,0.31552
,,00105.338320,C5_24,6,0.07504
,,00105.291280,C5_42,18,0.30552
,,00105.302480,C5_41,9,0.13712
,,00105.312640,C5_34,32,0.48416
,,00106.299680,C5_34,20,0.32672
,,00106.283520,C5_42,6,0.24152
,,00107.008960,C2_41,17,0.11792
,,00106.901120,C2_14,11,0.20512
,,00107.057600,C2_43,5,0.04688
,,00106.805040,C4_12,27,0.26352
,,00106.874720,C4_13,11,0.14352
,,00106.824320,C4_11,37,0.24752
,,00106.834080,C4_33,19,0.22752
,,00106.836480,C4_23,20,0.18112
,,00106.894240,C4_34,14,0.14688
,,00106.833840,C4_24,26,0.22064
,,00106.854480,C4_42,12,0.18952
,,00106.840080,C4_32,22,0.21752
,,00106.820480,C4_44,28,0.23472
,,00106.818000,C4_21,39,0.2456
,,00106.828400,C4_41,39,0.22992
,,00106.866000,C4_31,12,0.18192
,,00106.822880,C4_22,26,0.2404
,,00107.166400,C5_33,5,0.078
,,00107.176400,C5_34,24,0.39808
,,00107.183680,C5_42,8,0.2724
,,00108.020080,C5_42,5,0.11872
,,00108.058160,C5_34,16,0.2296
,,00108.193200,C6_14,10,0.07032
,,00108.174160,C6_12,29,0.18792
,,00108.166960,C6_13,16,0.18632
,,00108.113040,C6_11,41,0.27656
,,00108.045520,C6_33,39,0.33912
,,00108.139520,C6_23,26,0.21168
,,00108.140960,C6_34,29,0.20328
,,00108.158720,C6_24,19,0.20832
,,00108.098640,C6_42,54,0.25584
,,00108.117040,C6_43,30,0.2588
,,00108.134720,C6_44,38,0.1828
,,00108.127520,C6_21,44,0.22864
,,00108.127840,C6_32,51,0.32824
,,00107.874400,C6_41,70,0.60624
,,00108.152560,C6_31,44,0.44048
,,00108.085600,C6_22,28,0.40008
,,00108.627760,D5_44,5,0.08944
,,00109.117280,C5_34,17,0.2128
,,00109.132320,C5_24,5,0.0932
,,00109.131600,C5_42,11,0.19872
,,00109.112800,C5_41,7,0.18088
,,00109.416000,B3_41,36,0.22536
,,00109.468160,B3_21,7,0.04792
,,00109.366480,B3_31,14,0.19304
,,00109.454080,B3_11,6,0.10968
,,00109.468800,B3_13,7,0.0852
,,00109.427520,B3_22,8,0.08368
,,00109.489760,B3_14,6,0.0236
,,00109.440640,B3_33,10,0.16512
,,00109.468800,B3_34,27,0.16824
,,00109.355600,B3_32,33,0.2092
,,00109.414880,B3_43,15,0.1408
,,00109.388160,B3_44,19,0.18752
,,00109.478480,B3_42,12,0.11696
,,00109.358480,B3_12,23,0.32512
,,00109.469520,B3_23,34,0.18984
,,00109.681040,C4_12,5,0.19632
,,00109.252480,C6_41,11,0.39896
,,00109.854800,C4_13,5,0.17312
,,00109.594000,C4_11,20,0.31304
,,00109.520000,C4_22,9,0.49136
,,00110.007520,C5_41,5,0.0452
,,00109.877440,C6_44,5,0.22824
,,00109.992720,C1_11,20,0.22048
,,00110.134080,C1_34,5,0.07064
,,00110.002000,C5_34,13,0.21616
,,00109.977840,C5_42,10,0.21656
,,00109.796720,C6_41,10,0.40216
,,00110.949280,C5_24,9,0.17648
,,00110.890960,C5_41,8,0.196
,,00111.168160,D3_13,19,0.2196
,,00111.188960,D3_23,8,0.19016
,,00111.038480,D3_43,16,0.34424
,,00110.908880,C5_34,21,0.39512
,,00110.887440,C5_42,12,0.33624
,,00111.160800,C6_42,5,0.13056
,,00111.007920,C6_44,6,0.37328
,,00111.171600,D3_41,51,0.23968
,,00111.176160,D3_21,29,0.2416
,,00111.169920,D3_31,30,0.26008
,,00111.169840,D3_11,21,0.25432
,,00111.213200,D3_12,37,0.23792
,,00111.289680,D3_14,7,0.11632
,,00111.252880,D3_34,27,0.18976
,,00111.248880,D3_32,17,0.2012
,,00111.117120,D3_44,20,0.30784
,,00111.163200,D3_42,26,0.29784
,,00111.139200,C6_41,10,0.4256
,,00111.484240,C6_44,5,0.2528
,,00111.607840,C6_31,5,0.21376
,,00112.081440,B1_41,33,0.21616
,,00112.041920,B1_21,32,0.2648
,,00112.152960,B1_31,16,0.1084
,,00112.143920,B1_12,5,0.06936
,,00112.077920,B1_13,21,0.16488
,,00111.931920,B1_22,30,0.33952
,,00112.083840,B1_23,22,0.16312
,,00112.137280,B1_14,11,0.13112
,,00112.125200,B1_33,6,0.05512
,,00112.118000,B1_24,19,0.128
,,00112.076640,B1_34,19,0.16576
,,00112.055200,B1_32,30,0.26872
,,00112.053200,B1_43,44,0.25408
,,00111.903680,B1_44,46,0.48176
,,00112.057280,B1_42,22,0.25168
,,00112.076960,C5_34,24,0.3008
,,00112.093280,C5_24,5,0.12312
,,00112.055120,C5_42,15,0.29712
,,00112.055760,C5_41,7,0.20664
,,00112.358080,D4_42,10,0.17904
,,00112.443520,D4_21,7,0.12224
,,00112.458160,D4_41,5,0.1708
,,00112.471520,D4_31,10,0.14784
,,00112.360720,D4_32,22,0.29616
,,00113.254080,C5_24,9,0.14456
,,00113.211200,C5_42,10,0.182
,,00113.062560,B6_14,16,0.14632
,,00113.056160,B6_12,17,0.17088
,,00113.072560,B6_13,17,0.14176
,,00113.042480,B6_11,11,0.1316
,,00113.031520,B6_33,30,0.22984
,,00113.039280,B6_23,26,0.20032
,,00113.077520,B6_34,18,0.13984
,,00113.000800,B6_24,25,0.28312
,,00113.029920,B6_42,43,0.23504
,,00112.993360,B6_43,37,0.25664
,,00113.055680,B6_32,26,0.16264
,,00112.946800,B6_44,36,0.30984
,,00112.933680,B6_21,47,0.32728
,,00112.988480,B6_31,42,0.36752
,,00112.989760,B6_22,27,0.2272
,,00113.231200,C5_34,24,0.30776
,,00112.970320,B6_41,74,0.55552
,,00114.078400,B6_31,5,0.3212
,,00114.283200,C5_34,18,0.26264
,,00114.296880,C5_24,6,0.1488
,,00114.256800,C5_42,8,0.204
,,00114.260000,C5_41,6,0.14448
,,00114.513360,B6_31,7,0.29936
,,00115.125360,A5_43,21,0.10824
,,00114.942320,B6_31,11,0.36608
,,00115.394560,A5_14,15,0.25088
,,00115.539600,A5_12,8,0.07912
,,00115.448560,A5_13,19,0.20016
,,00115.546880,A5_11,6,0.05904
,,00115.446160,A5_34,8,0.13688
,,00115.350560,A5_41,7,0.22016
,,00115.373440,A5_43,41,0.28448
,,00115.574640,C5_34,20,0.28152
,,00115.587600,C5_24,12,0.24504
,,00115.550640,C5_42,11,0.19512
,,00115.580000,C5_41,12,0.26632
,,00116.538480,A3_41,39,0.34768
,,00116.670800,A3_12,38,0.18672
,,00116.683040,A3_22,21,0.21064
,,00116.691360,A3_14,10,0.11648
,,00116.684960,A3_33,9,0.1312
,,00116.672640,A3_24,29,0.18672
,,00116.617680,C5_34,12,0.11984
,,00116.660320,C5_24,6,0.10032
,,00116.609040,C5_42,7,0.13312
,,00116.641600,A3_11,67,0.276
,,00116.623680,A3_13,62,0.35856
,,00116.660960,A3_23,60,0.3564
,,00116.650720,A3_34,51,0.24936
,,00116.450080,A3_32,80,0.56688
,,00116.610400,A3_44,31,0.29224
,,00116.422320,A3_43,65,0.55656
,,00116.644960,A3_42,55,0.27152
,,00116.867440,C5_34,7,0.1052
,,00116.500240,A3_31,71,0.7328
,,00117.818800,A3_31,5,0.07848
,,00118.538080,C5_43,11,0.0912
,,00118.507600,A3_32,5,0.18136
,,00118.479840,A3_42,5,0.24704
,,00118.522240,C5_14,26,0.14008
,,00118.546480,C5_12,13,0.13912
,,00118.369920,C5_11,21,0.406
,,00118.482640,C5_33,17,0.19016
,,00118.460080,C5_23,43,0.23048
,,00118.342640,C5_34,66,0.45832
,,00118.371760,C5_24,39,0.46768
,,00118.318800,C5_42,80,0.42656
,,00118.497840,C5_32,15,0.18032
,,00118.407360,C5_44,47,0.29672
,,00118.331440,C5_41,65,0.43112
,,00118.120160,A3_31,30,0.95328
,,00118.460320,A3_43,21,0.58088
,,00119.026720,A3_32,6,0.21008
,,00118.490160,A3_44,21,0.77288
,,00119.559600,A3_44,9,0.23096
,,00119.905120,A3_43,7,0.23288
,,00119.886960,A3_31,19,0.35472
,,00119.915360,A3_44,5,0.23744
,,00120.065120,A3_34,10,0.33648
,,00119.410560,A3_32,23,1.12688
,,00120.335920,A3_44,6,0.14176
,,00120.609920,B1_22,6,0.27088
,,00120.579680,B1_44,12,0.22752
,,00120.527680,C5_34,25,0.28912
,,00120.541200,C5_24,12,0.27256
,,00120.522640,C5_42,16,0.20616
,,00120.500960,C5_41,12,0.27136
,,00120.862560,A3_11,5,0.08784
,,00120.763200,A3_44,7,0.17864
,,00121.739040,A3_11,5,0.1148
,,00121.056800,A3_44,17,0.62576
,,00121.750080,A1_21,59,0.3224
,,00121.826320,A1_31,8,0.18424
,,00121.844720,A1_11,9,0.12176
,,00121.774080,A1_12,37,0.27728
,,00121.850480,A1_13,12,0.15888
,,00121.839840,A1_22,20,0.1944
,,00121.871440,A1_23,20,0.15376
,,00121.821120,A1_14,31,0.21616
,,00121.831120,A1_33,37,0.2052
,,00121.746320,A1_24,30,0.2768
,,00121.849920,A1_32,21,0.20416
,,00121.875520,A1_43,13,0.08936
,,00121.829040,A1_42,46,0.20608
,,00121.748160,A1_41,62,0.40736
,,00122.308320,D6_12,7,0.13016
,,00122.321840,D6_33,11,0.10608
,,00122.289040,D6_23,15,0.22808
,,00122.276080,D6_43,26,0.1588
,,00122.397360,D6_21,7,0.06568
,,00122.345680,D6_41,7,0.06408
,,00122.330000,D6_22,7,0.084
,,00124.407040,A4_14,26,0.17816
,,00124.434880,A4_13,12,0.13912
,,00124.302160,A4_11,52,0.30256
,,00124.368000,A4_33,30,0.2308
,,00124.332880,A4_23,47,0.25704
,,00124.459360,A4_24,7,0.12296
,,00124.315120,A4_42,55,0.32384
,,00124.239600,A4_43,78,0.36824
,,00124.266640,A4_32,15,0.29248
,,00124.367600,A4_44,46,0.24368
,,00124.324800,A4_21,29,0.30272
,,00124.324880,A4_41,48,0.26784
,,00124.323440,A4_31,28,0.28984
,,00124.456160,A4_22,9,0.11608
,,00124.566080,A3_11,12,0.304
,,00124.407520,A4_12,31,0.33264
,,00124.393200,A4_34,34,0.3036
,,00124.675120,C6_14,10,0.15344
,,00124.674640,C6_12,27,0.162
,,00124.673280,C6_13,20,0.18456
,,00124.651760,C6_11,35,0.2268
,,00124.620880,C6_33,38,0.2576
,,00124.668160,C6_23,25,0.1472
,,00124.668000,C6_34,26,0.1456
,,00124.602960,C6_24,17,0.21848
,,00124.532480,C6_42,54,0.32312
,,00124.591520,C6_43,22,0.23464
,,00124.570720,C6_44,36,0.27488
,,00124.597280,C6_21,48,0.2548
,,00124.555920,C6_22,29,0.2828
,,00124.607120,A3_32,14,0.37704
,,00124.693440,A3_43,9,0.2812
,,00124.821520,B4_14,27,0.2624
,,00124.802800,B4_13,23,0.22464
,,00124.852720,B4_33,11,0.148
,,00124.792960,B4_23,28,0.21048
,,00124.857280,B4_34,14,0.1268
,,00124.827040,B4_24,41,0.25056
,,00124.808960,B4_42,19,0.14
,,00124.843680,B4_43,14,0.1636
,,00124.802400,B4_32,43,0.2812
,,00124.820160,B4_44,49,0.28792
,,00124.690160,B4_21,22,0.28568
,,00124.738960,B4_41,54,0.31584
,,00124.799600,B4_31,17,0.20088
,,00124.797840,B4_22,55,0.26168
,,00124.530720,C6_32,49,0.41808
,,00124.514640,C6_41,70,0.41232
,,00124.701120,B4_11,42,0.44944
,,00124.660080,C6_31,41,0.49312
,,00125.565760,A4_41,5,0.21536
,,00125.648000,C3_41,41,0.30104
,,00125.732720,C3_21,61,0.22192
,,00125.767680,C3_11,8,0.16792
,,00125.772560,C3_12,22,0.23064
,,00125.752960,C3_23,29,0.25264
,,00125.797520,C3_14,21,0.16248
,,00125.742800,C3_34,47,0.24912
,,00125.798400,C3_32,24,0.15656
,,00125.817840,C3_43,12,0.10112
,,00125.667680,C3_42,64,0.36192
,,00125.721440,A3_31,7,0.24488
,,00125.681040,A3_32,26,0.42408
,,00125.711440,A3_43,12,0.38376
,,00125.650320,A4_12,9,0.49152
,,00125.862160,A4_44,6,0.23376
,,00125.735120,C3_22,27,0.4848
,,00126.153360,C6_44,5,0.29624
,,00126.370800,C6_41,5,0.2084
,,00126.400960,C2_41,50,0.43408
,,00126.508480,C2_21,48,0.28952
,,00126.506960,C2_31,43,0.25288
,,00126.597600,C2_11,20,0.20816
,,00126.626240,C2_22,19,0.16536
,,00126.580640,C2_23,21,0.27416
,,00126.467280,C2_14,41,0.37016
,,00126.607680,C2_33,15,0.10536
,,00126.629200,C2_34,23,0.13392
,,00126.614800,C2_32,17,0.1984
,,00126.538160,C2_43,30,0.26552
,,00126.617520,C2_44,29,0.16376
,,00126.610400,C2_42,28,0.172
,,00126.450480,A3_32,16,0.30584
,,00126.714560,A4_44,8,0.334
,,00126.674880,B4_41,6,0.22672
,,00127.022960,A4_21,8,0.20328
,,00126.028240,B4_11,43,1.41224
,,00126.869520,A3_32,36,0.91984
,,00127.481280,A4_21,6,0.27056
,,00127.571600,C6_22,5,0.12832
,,00127.856720,C6_22,5,0.2124
,,00128.655120,B1_41,5,0.18536
,,00128.676400,B1_21,5,0.15632
,,00128.642480,B1_22,10,0.19688
,,00128.606240,B1_44,9,0.20904
,,00128.489440,A4_21,8,0.39048
,,00128.886400,C3_42,9,0.15848
,,00128.750720,C6_22,5,0.24424
,,00128.818000,A3_11,44,1.28384
,,00130.208400,A3_11,6,0.09088
,,00130.322960,C6_22,7,0.24232
,,00130.616880,A2_21,22,0.20536
,,00130.714000,A2_31,12,0.11368
,,00130.691760,A2_12,39,0.18056
,,00130.618400,A2_23,5,0.18904
,,00130.683120,A2_33,28,0.18976
,,00130.630560,A2_24,22,0.19392
,,00130.708640,A2_34,22,0.15832
,,00130.630320,A2_32,47,0.2636
,,00130.681440,A2_43,31,0.15504
,,00130.623920,A2_44,45,0.2636
,,00130.674960,A2_42,25,0.19024
,,00130.615280,A3_11,7,0.25304
,,00130.617120,A2_41,46,0.31728
,,00130.665680,A2_11,16,0.34112
,,00130.672720,A2_13,37,0.23344
,,00130.622240,A2_22,28,0.31912
,,00130.706160,A2_14,47,0.2304
,,00131.517280,A3_11,5,0.1012
,,00131.397520,D6_12,5,0.07632
,,00131.369040,D6_33,5,0.10328
,,00131.309760,D6_43,22,0.18248
,,00131.378160,D6_22,6,0.11232
,,00131.852240,C6_41,14,0.16304
,,00131.969760,C6_22,5,0.15744
,,00132.141360,A3_11,5,0.1236
,,00132.005520,B4_11,7,0.22808
,,00132.688560,C2_41,12,0.29208
,,00132.752480,C2_14,8,0.32168
,,00133.088320,D4_42,10,0.304
,,00133.239280,D4_21,5,0.13896
,,00133.187840,D4_41,6,0.19448
,,00133.482720,A3_32,13,0.15544
,,00133.074000,D4_32,28,0.3736
,,00133.214720,D4_31,6,0.1924
,,00133.730640,D3_41,8,0.0996
,,00133.731920,D3_11,5,0.0548
,,00133.465040,A3_41,12,0.2084
,,00133.468880,A3_31,8,0.21
,,00133.523760,A3_11,18,0.17856
,,00133.603840,A3_12,5,0.08192
,,00133.622640,A3_23,5,0.15216
,,00133.630960,A3_34,5,0.06096
,,00133.461360,A3_43,16,0.22664
,,00133.618080,A3_42,7,0.06936
,,00133.865280,A2_32,5,0.25648
,,00134.856080,A4_11,21,0.21448
,,00134.952400,A4_33,5,0.11496
,,00134.941040,A4_23,10,0.1556
,,00134.849680,A4_43,30,0.21952
,,00134.954640,A4_32,5,0.13864
,,00134.916320,A4_44,11,0.21416
,,00134.887600,A4_21,9,0.22536
,,00134.900960,A4_41,12,0.21056
,,00134.851360,A4_31,18,0.25152
