Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00046.480080,D6_12,34,0.23032
,,00046.523120,D6_33,31,0.19696
,,00046.541520,D6_24,19,0.16008
,,00046.424400,D6_43,66,0.42328
,,00046.436880,D6_21,48,0.33856
,,00046.509360,D6_41,28,0.20552
,,00046.521360,D6_22,50,0.28992
,,00046.450960,D6_23,44,0.49928
,,00047.441680,C6_41,9,0.3252
,,00047.917120,D2_41,5,0.12184
,,00047.904880,D2_11,9,0.21104
,,00048.099440,C6_43,5,0.14008
,,00047.975120,C6_42,15,0.4544
,,00048.026720,C6_44,10,0.50624
,,00047.893280,C6_41,26,0.68016
,,00048.161200,C6_31,6,0.24904
,,00049.238480,A6_13,6,0.21992
,,00049.239600,A6_12,15,0.44504
,,00049.554640,A6_23,5,0.10592
,,00049.473600,A6_24,25,0.33792
,,00049.477840,A6_42,25,0.29112
,,00049.373520,A6_43,21,0.36144
,,00049.470800,A6_44,6,0.21648
,,00049.459040,A6_41,17,0.2192
,,00049.368720,A6_22,10,0.32016
,,00049.858160,D1_41,16,0.11176
,,00049.840160,D1_21,18,0.14576
,,00049.862160,D1_31,13,0.10232
,,00049.777920,D1_11,25,0.25136
,,00049.760400,D1_12,41,0.34784
,,00049.883920,D1_13,11,0.10256
,,00049.917200,D1_22,5,0.0492
,,00049.852000,D1_23,8,0.14352
,,00049.844240,D1_14,7,0.12744
,,00049.910160,D1_34,7,0.13776
,,00049.909520,D1_43,6,0.04552
,,00049.929760,D1_44,5,0.03808
,,00049.666480,C6_23,6,0.434
,,00049.674800,C6_41,5,0.26784
,,00051.100480,D2_44,6,0.27032
,,00051.633280,D3_41,54,0.266
,,00051.668880,D3_21,31,0.2288
,,00051.682240,D3_31,34,0.19392
,,00051.622320,D3_11,23,0.21048
,,00051.633200,D3_12,43,0.26664
,,00051.733200,D3_23,12,0.09136
,,00051.735680,D3_14,6,0.05144
,,00051.723920,D3_33,13,0.09752
,,00051.749760,D3_24,5,0.0268
,,00051.721040,D3_34,25,0.15728
,,00051.712560,D3_43,14,0.1756
,,00051.718960,D3_44,11,0.13544
,,00051.683680,A4_11,6,0.14464
,,00051.662960,D3_13,17,0.24056
,,00051.712880,D3_32,25,0.22384
,,00051.683920,D3_42,29,0.26056
,,00052.257920,D6_43,14,0.35112
,,00052.910080,B3_31,15,0.16656
,,00052.965200,B3_22,12,0.16632
,,00052.908880,B3_32,41,0.23264
,,00053.037920,B3_43,11,0.0656
,,00052.965760,B3_44,13,0.11368
,,00052.933520,B3_41,36,0.21856
,,00052.909200,B3_12,30,0.26088
,,00053.008160,B3_23,27,0.18168
,,00053.006720,B3_33,18,0.18984
,,00053.021360,B3_34,29,0.18288
,,00053.045040,B3_42,14,0.10536
,,00053.914720,C6_41,5,0.24216
,,00057.387360,A2_21,25,0.24432
,,00057.518800,A2_31,13,0.09496
,,00057.487600,A2_23,7,0.11472
,,00057.515200,A2_24,17,0.13136
,,00056.802960,B3_32,33,0.6256
,,00057.430720,A2_41,55,0.27888
,,00057.470960,A2_11,17,0.28648
,,00057.475680,A2_12,38,0.19992
,,00057.502160,A2_13,38,0.2256
,,00057.438400,A2_22,24,0.2212
,,00057.507280,A2_14,45,0.21752
,,00057.495280,A2_33,28,0.18296
,,00057.510480,A2_34,27,0.15576
,,00057.410960,A2_32,37,0.27664
,,00057.520240,A2_43,29,0.19376
,,00057.404800,A2_44,37,0.27864
,,00057.419200,A2_42,31,0.29968
,,00059.905520,D6_43,8,0.0812
,,00059.830800,D6_22,6,0.30768
,,00060.046960,B3_32,17,0.42952
,,00061.563760,D2_23,6,0.07928
,,00061.476480,D2_11,8,0.178
,,00061.518160,D2_43,10,0.1584
,,00061.446720,D2_44,11,0.21536
,,00061.555120,D2_42,6,0.10536
,,00061.589600,B3_32,12,0.24136
,,00062.884640,A4_14,24,0.1708
,,00062.882880,A4_13,11,0.1468
,,00062.805600,A4_11,49,0.27976
,,00062.802480,A4_33,31,0.28912
,,00062.828000,A4_23,57,0.25672
,,00062.906560,A4_24,12,0.1344
,,00062.826160,A4_42,51,0.258
,,00062.790560,A4_43,73,0.30184
,,00062.865600,A4_44,39,0.2284
,,00062.820160,A4_21,40,0.23624
,,00062.832080,A4_41,47,0.25368
,,00062.810080,A4_31,27,0.27896
,,00062.828000,A4_22,15,0.22952
,,00062.879120,A4_12,35,0.36168
,,00062.888320,A4_34,30,0.2652
,,00062.739120,A4_32,23,0.41936
,,00063.358960,B3_32,20,0.31312
,,00063.653120,A6_33,34,0.21432
,,00063.610960,A6_23,19,0.24736
,,00063.686160,A6_31,23,0.18592
,,00063.754080,A1_21,53,0.30456
,,00063.930080,A1_31,6,0.10816
,,00063.823280,A1_11,7,0.16216
,,00063.794000,A1_12,36,0.27488
,,00063.921840,A1_13,6,0.0608
,,00063.881360,A1_22,13,0.11136
,,00063.879600,A1_23,20,0.1836
,,00063.875360,A1_14,26,0.18608
,,00063.884800,A1_33,34,0.19424
,,00063.794880,A1_24,31,0.26152
,,00063.888400,A1_34,5,0.09448
,,00063.911600,A1_32,19,0.1516
,,00063.828320,A1_43,17,0.20336
,,00063.832800,A1_42,43,0.22632
,,00063.609360,A6_14,19,0.30312
,,00063.595840,A6_12,67,0.39936
,,00063.649440,A6_13,45,0.28704
,,00063.624640,A6_11,54,0.30856
,,00063.686080,A6_34,25,0.2356
,,00063.508880,A6_24,73,0.404
,,00063.483920,A6_42,55,0.46456
,,00063.481680,A6_43,48,0.44272
,,00063.692960,A6_32,33,0.21688
,,00063.602320,A6_44,46,0.31864
,,00063.567680,A6_21,29,0.34984
,,00063.594480,A6_41,67,0.30848
,,00063.645840,A6_22,39,0.2668
,,00063.798960,A1_41,58,0.364
,,00064.226800,A4_44,5,0.29736
,,00064.248880,A4_12,12,0.4184
,,00064.437120,A6_14,6,0.28864
,,00064.771840,A4_12,7,0.36112
,,00065.176720,B3_41,5,0.2452
,,00065.359120,B3_22,6,0.21368
,,00065.194080,B3_32,16,0.32088
,,00064.913520,A6_43,12,0.50752
,,00065.417360,A4_12,6,0.2424
,,00065.520480,D4_14,20,0.1512
,,00065.495200,D4_12,31,0.17328
,,00065.510400,D4_13,12,0.18824
,,00065.508240,D4_11,44,0.21072
,,00065.529840,D4_33,46,0.20992
,,00065.544560,D4_23,28,0.17216
,,00065.504720,D4_34,27,0.16104
,,00065.506560,D4_24,37,0.20392
,,00065.424320,D4_42,46,0.27272
,,00065.529360,D4_43,18,0.15664
,,00065.228480,D4_32,83,0.54176
,,00065.509520,D4_44,38,0.18168
,,00065.388400,D4_21,55,0.34872
,,00065.465200,D4_31,62,0.31152
,,00065.494640,D4_22,49,0.23296
,,00065.905120,B3_32,6,0.1352
,,00065.465680,D4_41,51,0.52528
,,00066.423840,B3_32,10,0.27864
,,00066.774320,A6_43,6,0.32512
,,00067.049840,D6_43,8,0.22264
,,00067.116480,D6_22,5,0.2092
,,00067.187360,A6_14,11,0.26888
,,00067.030800,A6_34,12,0.43504
,,00067.710800,B3_32,11,0.26808
,,00068.143600,B4_11,9,0.25048
,,00068.060400,B4_23,9,0.234
,,00068.136320,B4_44,11,0.14456
,,00068.292720,B4_41,5,0.0392
,,00068.064720,B4_22,6,0.23376
,,00066.891680,D4_11,60,1.33864
,,00068.019120,D4_32,11,0.55576
,,00068.412160,D4_21,12,0.35192
,,00069.024320,B3_32,14,0.28224
,,00068.992720,D4_11,6,0.3152
,,00069.717360,A1_21,9,0.1288
,,00071.136400,D3_41,11,0.07392
,,00071.094000,D3_31,5,0.06456
,,00071.117040,D3_11,7,0.10888
,,00071.148000,D3_42,6,0.08056
,,00071.059760,B3_32,7,0.20288
,,00071.417040,D4_32,21,0.41216
,,00071.953760,A4_14,5,0.10984
,,00071.826160,A4_11,23,0.24064
,,00071.945520,A4_33,8,0.15136
,,00071.957200,A4_23,6,0.13056
,,00071.859440,A4_43,31,0.27904
,,00071.934240,A4_32,7,0.18544
,,00071.937040,A4_44,12,0.16664
,,00071.866080,A4_21,6,0.08416
,,00071.937600,A4_41,5,0.126
,,00071.851440,A4_31,16,0.20568
,,00071.541520,D4_13,8,0.41016
,,00072.285680,D2_42,8,0.11048
,,00071.902800,A4_42,15,0.2524
,,00072.256720,D2_24,8,0.17728
,,00072.130320,D2_44,18,0.37544
,,00077.314240,D6_12,13,0.17712
,,00077.364560,D6_33,9,0.08552
,,00077.356480,D6_23,12,0.1376
,,00077.305120,D6_43,27,0.19528
,,00077.267760,D6_21,12,0.20208
,,00077.364720,D6_41,7,0.06832
,,00077.351360,D6_22,15,0.10144
,,00077.621200,D3_41,8,0.19952
,,00077.731440,A6_12,15,0.23248
,,00077.795440,A6_11,6,0.11384
,,00077.772080,A6_43,6,0.20336
,,00077.777600,A6_22,5,0.14736
,,00078.015760,A2_41,49,0.332
,,00078.051280,A2_21,19,0.21824
